PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Josh Oliver,TE,JAX,@HOU,-110,43.50,9.00,17.25,2500,1.2,0.5,0.45
Deon Yelder,TE,KC,@OAK,-105,53.50,-7.00,30.25,2500,1.4,0.6,0.44
Kaden Smith,TE,SF,@CIN,-110,45.50,2.00,21.75,2500,0.9,0.4,0.43
Kendrick Bourne,WR,SF,@CIN,-110,45.50,2.00,21.75,3000,2.8,0.9,0.42
Joe Flacco,QB,DEN,CHI,-105,40.50,2.50,19.00,4900,13.1,2.7,0.41
Geremy Davis,WR,LAC,@DET,-110,47.50,-2.50,25.00,3000,4.3,1.5,0.41
Corey Clement,RB,PHI,@ATL,-110,52.50,-1.50,27.00,3000,2.2,0.7,0.41
Rhett Ellison,TE,NYG,BUF,-110,44.00,1.50,21.25,2500,3.2,1.3,0.39
Dontrelle Inman,WR,LAC,@DET,-110,47.50,-2.50,25.00,3000,4.2,1.4,0.38
Jakeem Grant,WR,MIA,NE,-110,48.50,18.50,15.00,3200,6.5,2.0,0.37
Drew Sample,TE,CIN,SF,-110,45.50,-2.00,23.75,2500,1.5,0.6,0.37
Justin Watson,WR,TB,@CAR,-120,49.00,7.00,21.00,3000,2.0,0.7,0.36
Chester Rogers,WR,IND,@TEN,100,43.50,3.00,20.25,3100,3.9,1.3,0.35
Mo Alie-Cox,TE,IND,@TEN,100,43.50,3.00,20.25,2500,1.7,0.7,0.35
Irv Smith Jr.,TE,MIN,@GB,-115,44.00,3.00,20.50,2700,1.4,0.5,0.35
Ty Montgomery,RB,NYJ,CLE,-110,44.00,6.50,18.75,3200,4.1,1.3,0.34
Ryquell Armstead,RB,JAX,@HOU,-110,43.50,9.00,17.25,3200,2.6,0.8,0.34
Anthony Firkser,TE,TEN,IND,-120,43.50,-3.00,23.25,2500,1.5,0.6,0.34
Dawson Knox,TE,BUF,@NYG,-110,44.00,-1.50,22.75,2500,1.5,0.6,0.33
J.J. Arcega-Whiteside,WR,PHI,@ATL,-110,52.50,-1.50,27.00,3200,2.2,0.7,0.32
Darren Fells,TE,HOU,JAX,-110,43.50,-9.00,26.25,2500,0.8,0.3,0.32
Chad Beebe,WR,MIN,@GB,-115,44.00,3.00,20.50,3300,3.3,1.0,0.31
Hunter Renfrow,WR,OAK,KC,-115,53.50,7.00,23.25,4000,2.3,0.6,0.31
Parris Campbell,WR,IND,@TEN,100,43.50,3.00,20.25,3700,3.6,1.0,0.29
Kalen Ballage,RB,MIA,NE,-110,48.50,18.50,15.00,4500,7.4,1.7,0.28
Dontrell Hilliard,RB,CLE,@NYJ,-110,44.00,-6.50,25.25,3300,4.1,1.2,0.28
J.D. McKissic,RB,DET,LAC,-110,47.50,2.50,22.50,3000,3.8,1.3,0.28
Jeff Heuerman,TE,DEN,CHI,-105,40.50,2.50,19.00,2800,3.5,1.2,0.28
Dalton Schultz,TE,DAL,@WAS,-110,46.50,-5.50,26.00,2500,1.7,0.7,0.28
MyCole Pruitt,TE,TEN,IND,-120,43.50,-3.00,23.25,2500,1.1,0.5,0.28
Tyler Conklin,TE,MIN,@GB,-115,44.00,3.00,20.50,2500,0.9,0.4,0.28
Logan Paulsen,TE,HOU,JAX,-110,43.50,-9.00,26.25,2500,0.5,0.2,0.28
Austin Carr,WR,NO,@LAR,-110,52.00,2.00,25.00,3000,1.7,0.6,0.27
T.J. Logan,RB,TB,@CAR,-120,49.00,7.00,21.00,3000,1.2,0.4,0.27
Zach Gentry,TE,PIT,SEA,-110,47.00,-4.00,25.50,2500,0.2,0.1,0.27
Bobo Wilson,WR,TB,@CAR,-120,49.00,7.00,21.00,3000,1.4,0.4,0.25
Dwayne Washington,RB,NO,@LAR,-110,52.00,2.00,25.00,3000,1.3,0.4,0.25
Phillip Dorsett,WR,NE,@MIA,-110,48.50,-18.50,33.50,3000,4.5,1.5,0.24
Wendell Smallwood,RB,WAS,DAL,-110,46.50,5.50,20.50,3200,4.4,1.4,0.24
D'Ernest Johnson,RB,CLE,@NYJ,-110,44.00,-6.50,25.25,3000,3.6,1.2,0.24
Tajae Sharpe,WR,TEN,IND,-120,43.50,-3.00,23.25,3200,3.1,1.0,0.24
John Ursua,WR,SEA,@PIT,-110,47.00,4.00,21.50,3000,2.5,0.8,0.24
Russell Gage,WR,ATL,PHI,-110,52.50,1.50,25.50,3000,1.9,0.6,0.24
Demetrius Harris,TE,CLE,@NYJ,-110,44.00,-6.50,25.25,2500,1.5,0.6,0.24
DeAndre Carter,WR,HOU,JAX,-110,43.50,-9.00,26.25,3100,2.3,0.7,0.23
Ricky Seals-Jones,TE,CLE,@NYJ,-110,44.00,-6.50,25.25,2600,1.5,0.6,0.23
Darwin Thompson,RB,KC,@OAK,-105,53.50,-7.00,30.25,3200,1.8,0.6,0.22
