"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Corey Clement","PHI","2.1","8.7","0.0","1.2","8.5","0.0","0.0","3.2"
"Kyle Juszczyk","SF","0.6","2.4","0.0","1.5","13.7","0.0","0.1","3.1"
"Malcolm Brown","LAR","5.6","24.3","0.1","0.3","3.1","0.0","0.1","3.1"
"Reggie Bonnafon","CAR","2.8","12.0","0.0","0.9","6.8","0.0","0.1","3.1"
"Wayne Gallman","NYG","3.7","12.8","0.1","1.0","6.2","0.0","0.1","3.1"
"Devontae Booker","DEN","2.7","10.9","0.0","0.9","8.1","0.0","0.1","2.8"
"Ty Johnson","DET","2.5","9.5","0.0","0.9","7.4","0.0","0.1","2.8"
"Dare Ogunbowale","TB","3.3","11.9","0.0","0.6","4.5","0.0","0.0","2.4"
"DeAndre Washington","OAK","3.6","12.5","0.1","0.6","3.4","0.0","0.1","2.3"
"Jordan Wilkins","IND","3.4","15.1","0.0","0.5","2.9","0.0","0.1","2.3"
"Wendell Smallwood","WAS","2.9","9.0","0.0","0.6","4.7","0.0","0.0","2.2"
"Brian Hill","ATL","2.0","8.1","0.0","1.0","3.5","0.0","0.0","2.2"
"Paul Perkins","NYG","2.5","8.7","0.0","0.6","3.1","0.0","0.0","1.9"
"Travis Homer","SEA","2.5","9.8","0.1","0.3","2.2","0.0","0.0","1.9"
"Benny Snell Jr.","PIT","2.4","9.4","0.0","0.4","3.9","0.0","0.1","1.9"
"Troymaine Pope","LAC","1.9","6.1","0.0","0.7","3.4","0.0","0.0","1.8"
"J.D. McKissic","DET","1.2","3.8","0.0","0.7","5.0","0.0","0.0","1.8"
"C.J. Prosise","SEA","2.0","4.3","0.0","0.5","6.0","0.0","0.0","1.6"
"Jordan Scarlett","CAR","1.8","7.5","0.0","0.4","2.9","0.0","0.0","1.6"
"D'Ernest Johnson","CLE","1.7","6.3","0.0","0.4","3.4","0.0","0.0","1.6"
"Raheem Mostert","SF","1.8","9.8","0.0","0.2","1.2","0.0","0.0","1.5"
"Tyler Ervin","JAC","0.9","3.1","0.0","0.6","3.9","0.0","0.0","1.4"
"Trenton Cannon","NYJ","1.8","6.3","0.0","0.3","3.8","0.0","0.0","1.4"
"Josh Adams","NYJ","2.7","8.6","0.0","0.2","1.5","0.0","0.0","1.4"
"Ameer Abdullah","MIN","1.6","5.4","0.0","0.3","2.4","0.0","0.0","1.4"
"T.J. Logan","TB","1.0","3.3","0.0","0.5","3.5","0.0","0.0","1.3"
"Mike Boone","MIN","2.2","7.6","0.0","0.2","1.8","0.0","0.0","1.3"
"Brandon Bolden","NE","0.9","4.5","0.1","0.1","1.0","0.0","0.0","1.3"
"Devine Ozigbo","JAC","1.7","5.7","0.0","0.4","2.6","0.0","0.0","1.2"
"Mark Walton","MIA","1.7","5.3","0.0","0.4","2.5","0.0","0.0","1.2"
"Buddy Howell","HOU","2.1","7.4","0.0","0.1","1.5","0.0","0.0","1.2"
"Anthony Sherman","KC","0.5","1.5","0.0","0.4","3.7","0.0","0.0","1.1"
"James Develin","NE","1.0","2.9","0.0","0.4","2.4","0.0","0.0","1.1"
"David Fluellen","TEN","1.8","6.6","0.0","0.1","1.2","0.0","0.0","1.1"
"Darrel Williams","KC","1.3","4.3","0.0","0.2","1.8","0.0","0.0","1.1"
"Chandler Cox","MIA","0.4","2.0","0.0","0.5","3.0","0.0","0.0","1.0"
"CJ Ham","MIN","0.7","2.1","0.0","0.4","3.2","0.0","0.0","1.0"
"Taiwan Jones","HOU","1.5","4.6","0.0","0.2","2.1","0.0","0.0","1.0"
"Elijhaa Penny","NYG","1.1","3.3","0.0","0.4","2.0","0.0","0.0","1.0"
"D.J. Foster","ARI","0.8","2.8","0.0","0.4","2.4","0.0","0.0","0.9"
"Zach Line","NO","0.8","2.5","0.0","0.3","1.7","0.0","0.0","0.9"
"Samaje Perine","CIN","0.7","2.5","0.0","0.4","2.2","0.0","0.0","0.9"
"Patrick DiMarco","BUF","0.8","2.6","0.0","0.3","2.4","0.0","0.0","0.8"
"Kenjon Barner","ATL","1.3","3.5","0.0","0.3","1.6","0.0","0.0","0.8"
"Dwayne Washington","NO","1.8","4.8","0.0","0.1","0.9","0.0","0.0","0.8"
"Derek Watt","LAC","0.5","1.4","0.0","0.4","1.4","0.0","0.0","0.7"
"Alex Armah","CAR","0.8","2.2","0.0","0.1","1.1","0.0","0.0","0.7"
"Jamize Olawale","DAL","0.5","1.3","0.0","0.3","2.3","0.0","0.0","0.7"
"Roosevelt Nix","PIT","0.7","1.8","0.0","0.3","1.6","0.0","0.0","0.7"
"Keith Smith","ATL","0.3","1.0","0.0","0.3","1.7","0.0","0.0","0.6"
"Nick Bawden","DET","0.3","1.0","0.0","0.3","2.0","0.0","0.0","0.6"
"Tremon Smith","KC","0.4","1.3","0.0","0.2","1.2","0.0","0.0","0.6"
"De'Lance Turner","BAL","0.5","1.6","0.0","0.2","1.1","0.0","0.0","0.5"
"Shaun Wilson","WAS","0.5","1.7","0.0","0.2","1.0","0.0","0.0","0.5"
"Alec Ingold","OAK","0.4","1.4","0.0","0.2","1.2","0.0","0.0","0.5"
"Nick Bellore","SEA","0.4","1.1","0.0","0.2","0.8","0.0","0.0","0.5"
"Garrett Griffin","NO","0.3","1.0","0.0","0.2","0.8","0.0","0.0","0.4"
"Cullen Gillaspia","HOU","0.2","1.0","0.0","0.2","1.0","0.0","0.0","0.4"
"Patrick Ricard","BAL","0.2","0.8","0.0","0.1","0.9","0.0","0.0","0.3"
"Dan Vitale","GB","0.2","0.7","0.0","0.2","0.8","0.0","0.0","0.3"
"Matthew Dayes","NO","0.1","0.4","0.0","0.1","0.5","0.0","0.0","0.3"
