"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.5","73.8","0.7","0.1","16.8"
"George Kittle","SF","5.5","75.2","0.5","0.1","15.8"
"Zach Ertz","PHI","6.1","56.0","0.6","0.1","15.0"
"Evan Engram","NYG","5.1","59.7","0.5","0.1","13.8"
"O.J. Howard","TB","4.0","53.6","0.6","0.1","12.7"
"Vance McDonald","PIT","4.2","46.3","0.5","0.1","11.6"
"Jared Cook","NO","3.7","44.3","0.5","0.0","11.3"
"David Njoku","CLE","3.7","41.4","0.5","0.0","10.6"
"Hunter Henry","LAC","4.3","48.7","0.2","0.0","10.6"
"Mark Andrews","BAL","3.1","39.0","0.4","0.0","9.6"
"Delanie Walker","TEN","3.6","36.6","0.4","0.1","9.4"
"Darren Waller","OAK","3.3","37.4","0.4","0.1","9.3"
"Eric Ebron","IND","3.2","32.5","0.4","0.0","9.0"
"Austin Hooper","ATL","3.6","33.9","0.2","0.0","8.1"
"Will Dissly","SEA","2.1","30.3","0.5","0.0","8.0"
"Jimmy Graham","GB","3.4","35.7","0.2","0.0","7.9"
"Vernon Davis","WAS","3.1","40.7","0.1","0.1","7.8"
"Kyle Rudolph","MIN","3.1","29.6","0.2","0.0","7.3"
"Tyler Eifert","CIN","2.9","33.6","0.1","0.0","7.0"
"Adam Shaheen","CHI","2.7","29.2","0.2","0.0","6.9"
"Greg Olsen","CAR","2.7","29.6","0.2","0.0","6.8"
"T.J. Hockenson","DET","3.0","28.2","0.2","0.1","6.7"
"Geoff Swaim","JAC","3.0","27.0","0.2","0.0","6.6"
"Noah Fant","DEN","2.5","31.1","0.2","0.1","6.6"
"Jack Doyle","IND","3.1","27.9","0.1","0.1","6.5"
"Jason Witten","DAL","2.7","25.9","0.1","0.0","6.1"
"Dallas Goedert","PHI","2.1","20.8","0.3","0.0","5.9"
"Charles Clay","ARI","2.4","23.6","0.1","0.1","5.2"
"Mike Gesicki","MIA","2.3","25.1","0.1","0.1","5.2"
"Gerald Everett","LAR","2.0","22.2","0.1","0.0","5.0"
"Cameron Brate","TB","2.0","18.4","0.2","0.1","4.9"
"Jeff Heuerman","DEN","1.7","17.6","0.2","0.0","4.5"
"Dawson Knox","BUF","1.6","18.8","0.1","0.0","4.1"
"Blake Jarwin","DAL","1.6","16.4","0.1","0.0","4.1"
"Ryan Griffin","NYJ","1.7","20.3","0.1","0.0","4.0"
"Nick Vannett","SEA","1.6","14.1","0.2","0.0","4.0"
"Foster Moreau","OAK","1.6","17.4","0.1","0.0","3.9"
"Irv Smith Jr.","MIN","1.7","16.2","0.1","0.1","3.8"
"Tyler Higbee","LAR","1.4","16.3","0.1","0.0","3.8"
"Ian Thomas","CAR","1.6","16.0","0.1","0.0","3.8"
"Hayden Hurst","BAL","1.5","16.6","0.1","0.0","3.7"
"Matt LaCosse","NE","2.0","17.0","0.0","0.0","3.7"
"Ryan Izzo","MIN","1.4","15.0","0.1","0.0","3.7"
"James O'Shaughnessy","JAC","1.7","15.0","0.1","0.0","3.5"
"Jesse James","DET","1.5","14.5","0.1","0.0","3.5"
"Jonnu Smith","TEN","1.3","14.8","0.1","0.0","3.5"
"Drew Sample","CIN","1.4","14.8","0.1","0.0","3.4"
"C.J. Uzomah","CIN","1.4","15.1","0.1","0.0","3.3"
"Nick O'Leary","MIA","1.2","13.7","0.1","0.0","3.3"
"Garrett Celek","SF","0.7","12.1","0.2","0.0","3.1"
"Demetrius Harris","CLE","1.0","11.7","0.1","0.0","3.0"
"Jordan Akins","HOU","1.2","15.7","0.0","0.0","3.0"
"Zach Gentry","PIT","1.1","13.1","0.1","0.0","3.0"
"Darren Fells","HOU","1.1","11.2","0.1","0.0","2.9"
"Luke Stocker","ATL","1.0","10.7","0.1","0.0","2.9"
"Jake Butt","DEN","1.1","12.9","0.1","0.0","2.8"
"Maxx Williams","ARI","1.2","11.0","0.1","0.0","2.8"
"Rhett Ellison","NYG","1.2","11.5","0.0","0.0","2.6"
"Eric Saubert","OAK","1.0","9.5","0.1","0.0","2.5"
"Josh Hill","NO","1.0","9.5","0.1","0.0","2.4"
"Lee Smith","BUF","0.9","8.5","0.1","0.0","2.3"
"Marcedes Lewis","GB","0.9","9.7","0.1","0.0","2.3"
"Nick Boyle","BAL","1.0","9.6","0.0","0.0","2.2"
"Mo Alie-Cox","IND","0.7","10.2","0.1","0.0","2.2"
"Trevon Wesco","NYJ","0.8","7.8","0.1","0.0","2.1"
"Jeremy Sprinkle","WAS","0.9","7.6","0.1","0.0","2.1"
"Garrett Griffin","NO","0.8","6.9","0.1","0.0","2.1"
"Derek Carrier","OAK","0.8","7.8","0.1","0.0","2.1"
"Robert Tonyan","GB","0.7","8.9","0.1","0.0","2.1"
"Virgil Green","LAC","0.9","9.1","0.1","0.1","2.0"
"Xavier Grimble","PIT","0.8","10.4","0.0","0.1","1.8"
"Blake Bell","KC","0.8","7.3","0.0","0.0","1.7"
"Eric Tomlinson","NYG","0.7","7.5","0.0","0.0","1.7"
"Tommy Sweeney","BUF","0.6","7.1","0.1","0.0","1.6"
"Jordan Leggett","TB","0.7","6.5","0.1","0.0","1.6"
"Ben Braunecker","CHI","0.6","6.6","0.0","0.0","1.5"
"Daniel Brown","NYJ","0.6","6.0","0.0","0.0","1.5"
"Jaeden Graham","ATL","0.7","7.0","0.0","0.0","1.4"
"Kaden Smith","SF","0.5","5.7","0.1","0.0","1.4"
"Ross Dwelley","SF","0.6","6.0","0.0","0.0","1.4"
"Tanner Hudson","TB","0.5","5.6","0.1","0.0","1.4"
