"Player","Team","FG","FGA","XPT","FPTS"
"Wil Lutz","NO","2.3","2.7","2.9","9.7"
"Jason Myers","SEA","2.2","2.5","2.9","9.4"
"Harrison Butker","KC","2.2","2.6","2.7","9.2"
"Jake Elliott","PHI","2.1","2.6","2.8","9.2"
"Greg Zuerlein","LAR","2.1","2.3","2.8","9.0"
"Stephen Gostkowski","NE","2.1","2.4","2.7","9.0"
"Robbie Gould","SF","2.2","2.4","2.2","8.8"
"Michael Badgley","LAC","2.0","2.3","2.6","8.7"
"Josh Lambo","JAC","2.1","2.4","2.2","8.6"
"Brett Maher","DAL","2.0","2.4","2.6","8.5"
"Justin Tucker","BAL","2.0","2.3","2.5","8.5"
"Matt Prater","DET","2.1","2.4","2.2","8.3"
"Matt Bryant","ATL","1.9","2.2","2.4","8.2"
"Eddy Pineiro","CHI","1.9","2.2","2.5","8.2"
"Ka'imi Fairbairn","HOU","2.0","2.3","2.2","8.1"
"Matt Gay","TB","2.0","2.3","2.2","8.1"
"Dan Bailey","MIN","1.8","2.4","2.6","8.1"
"Brandon McManus","DEN","1.9","2.4","2.2","7.8"
"Chris Boswell","PIT","1.9","2.5","2.0","7.7"
"Mason Crosby","GB","1.8","2.2","2.2","7.7"
"Kaare Vedvik","NYJ","1.6","1.9","2.7","7.5"
"Aldrick Rosas","NYG","1.9","2.2","1.8","7.5"
"Ryan Succop","TEN","1.8","2.2","1.8","7.3"
"Daniel Carlson","OAK","1.8","2.1","2.1","7.3"
"Dustin Hopkins","WAS","1.9","2.2","1.5","7.1"
"Adam Vinatieri","IND","1.8","2.2","1.8","7.1"
"Steven Hauschka","BUF","1.8","2.1","1.8","7.1"
"Zane Gonzalez","ARI","1.7","2.2","1.9","7.1"
"Randy Bullock","CIN","1.5","1.9","1.9","6.4"
"Jason Sanders","MIA","1.6","1.9","1.6","6.3"
""
""
