"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Damien Harris","NE","3.5","14.6","0.1","0.7","5.2","0.0","0.0","2.8"
"Mike Davis","CHI","3.1","12.5","0.1","1.0","7.6","0.0","0.0","2.7"
"DeAndre Washington","OAK","3.8","16.2","0.1","0.3","1.6","0.0","0.0","2.6"
"Darwin Thompson","KC","3.0","12.9","0.1","0.8","6.4","0.0","0.0","2.6"
"Dontrell Hilliard","CLE","3.1","12.8","0.1","0.9","7.9","0.0","0.0","2.5"
"Chase Edmonds","ARI","3.3","13.4","0.1","0.8","5.4","0.0","0.0","2.5"
"T.J. Yeldon","BUF","2.2","8.8","0.0","1.1","9.6","0.0","0.0","2.3"
"Wayne Gallman","NYG","3.5","13.7","0.1","0.5","3.2","0.0","0.0","2.2"
"Paul Perkins","NYG","2.2","9.1","0.1","0.5","3.7","0.0","0.0","1.8"
"Corey Clement","PHI","1.7","7.2","0.0","0.7","5.9","0.0","0.0","1.7"
"Kyle Juszczyk","SF","0.5","2.0","0.0","1.0","7.5","0.1","0.0","1.4"
"Jordan Wilkins","IND","1.5","7.0","0.0","0.5","3.4","0.0","0.0","1.2"
"Brian Hill","ATL","1.3","5.5","0.0","0.5","3.7","0.0","0.0","1.2"
"Dare Ogunbowale","TB","1.5","6.5","0.0","0.4","3.1","0.0","0.0","1.2"
"Taiwan Jones","HOU","2.1","7.5","0.0","0.2","2.1","0.0","0.0","1.1"
"Devontae Booker","DEN","0.8","3.2","0.0","0.7","5.8","0.0","0.0","1.1"
"Josh Adams","NYJ","1.4","6.3","0.0","0.2","1.7","0.0","0.0","1.1"
"Myles Gaskin","MIA","1.5","6.5","0.0","0.3","1.9","0.0","0.0","1.1"
"Mark Walton","MIA","1.3","5.1","0.0","0.6","3.9","0.0","0.0","1.0"
"Bilal Powell","NYJ","1.5","6.0","0.0","0.3","2.4","0.0","0.0","0.9"
"Travis Homer","SEA","1.8","7.0","0.0","0.3","2.0","0.0","0.0","0.9"
"Darrel Williams","KC","1.1","4.4","0.0","0.4","3.0","0.0","0.0","0.9"
"Benny Snell Jr.","PIT","1.1","4.7","0.0","0.4","2.6","0.0","0.0","0.9"
"Raheem Mostert","SF","1.1","4.9","0.0","0.3","1.8","0.0","0.0","0.8"
"Wendell Smallwood","WAS","0.9","3.7","0.0","0.4","3.0","0.0","0.0","0.8"
"Tyler Ervin","JAC","0.5","2.2","0.0","0.6","4.1","0.0","0.0","0.8"
"Jordan Scarlett","CAR","1.2","5.0","0.0","0.4","3.0","0.0","0.0","0.8"
"D'Ernest Johnson","CLE","0.9","4.0","0.0","0.5","4.0","0.0","0.0","0.8"
"John Kelly","LAR","1.6","6.0","0.0","0.3","2.0","0.0","0.0","0.8"
"Mike Boone","MIN","1.3","5.5","0.0","0.3","1.8","0.0","0.0","0.8"
"Alfred Morris","DAL","0.6","2.4","0.0","0.4","3.1","0.0","0.0","0.8"
"Alex Armah","CAR","1.0","4.5","0.0","0.2","1.1","0.0","0.0","0.8"
"J.D. McKissic","DET","0.5","2.1","0.0","0.5","3.3","0.0","0.0","0.8"
"Anthony Sherman","KC","0.2","0.8","0.0","0.4","2.9","0.1","0.0","0.7"
"Ty Johnson","DET","1.1","4.0","0.0","0.5","3.0","0.0","0.0","0.7"
"Trenton Cannon","NYJ","0.7","2.9","0.0","0.3","2.1","0.0","0.0","0.7"
"Jonathan Williams","IND","1.1","4.2","0.0","0.2","1.6","0.0","0.0","0.7"
"C.J. Prosise","SEA","0.8","3.3","0.0","0.3","2.5","0.0","0.0","0.7"
"Troymaine Pope","LAC","0.6","2.0","0.0","0.3","2.6","0.0","0.0","0.6"
"Dexter Williams","GB","0.7","2.8","0.0","0.3","2.1","0.0","0.0","0.6"
"Ameer Abdullah","MIN","0.7","2.6","0.0","0.3","2.1","0.0","0.0","0.6"
"Samaje Perine","CIN","0.9","3.1","0.0","0.3","2.4","0.0","0.0","0.6"
"Tra Carson","GB","0.5","2.0","0.0","0.5","4.0","0.0","0.0","0.6"
"Trayveon Williams","CIN","0.7","3.0","0.0","0.4","3.0","0.0","0.0","0.6"
"Chandler Cox","MIA","0.5","2.0","0.0","0.5","4.0","0.0","0.0","0.6"
"CJ Ham","MIN","0.5","2.4","0.0","0.2","1.7","0.0","0.0","0.5"
"Andy Janovich","DEN","0.2","1.0","0.0","0.4","4.0","0.0","0.0","0.5"
"Kerrith Whyte","CHI","0.9","3.0","0.0","0.3","2.0","0.0","0.0","0.5"
"Rod Smith","NYG","0.6","2.0","0.0","0.4","3.0","0.0","0.0","0.5"
"David Fluellen","TEN","1.2","4.6","0.0","0.0","0.3","0.0","0.0","0.5"
"D.J. Foster","ARI","0.4","1.3","0.0","0.4","2.7","0.0","0.0","0.5"
"T.J. Logan","TB","0.5","2.2","0.0","0.3","1.9","0.0","0.0","0.5"
"Patrick DiMarco","BUF","0.3","1.4","0.0","0.3","2.5","0.0","0.0","0.4"
"Elijhaa Penny","NYG","0.5","2.0","0.0","0.3","1.6","0.0","0.0","0.4"
"Tremon Smith","KC","0.4","1.9","0.0","0.2","1.5","0.0","0.0","0.4"
"Brandon Bolden","NE","0.3","1.6","0.0","0.2","1.5","0.0","0.0","0.4"
"James Develin","NE","0.4","1.8","0.0","0.3","1.6","0.0","0.0","0.4"
