"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"New York Jets","","2.7","1.1","0.6","0.0","0.2","0.1","18.6","333.0","8.3"
"Baltimore Ravens","","2.6","1.1","0.5","0.0","0.2","0.1","15.4","311.1","8.1"
"New Orleans Saints","","3.8","0.8","0.7","0.0","0.2","0.0","23.1","354.8","7.8"
"Seattle Seahawks","","2.4","1.0","0.5","0.0","0.2","0.1","16.9","334.7","7.7"
"Dallas Cowboys","","2.8","0.8","0.5","0.0","0.2","0.1","19.4","334.1","7.7"
"Philadelphia Eagles","","2.4","0.9","0.6","0.0","0.2","0.1","18.3","328.3","7.5"
"Detroit Lions","","3.1","1.0","0.6","0.0","0.2","0.0","22.3","343.4","7.4"
"Los Angeles Chargers","","2.4","0.8","0.6","0.0","0.2","0.1","18.6","319.7","7.1"
"Cleveland Browns","","2.7","0.7","0.5","0.0","0.2","0.0","20.0","324.4","7.1"
"San Francisco 49ers","","2.6","1.1","0.6","0.0","0.2","0.0","24.6","367.7","7.0"
"Tampa Bay Buccaneers","","2.9","0.9","0.6","0.0","0.2","0.0","25.1","376.4","6.9"
"Buffalo Bills","","2.3","1.0","0.6","0.0","0.2","0.0","21.6","323.8","6.6"
"Denver Broncos","","2.9","0.7","0.7","0.0","0.1","0.0","21.8","349.3","6.6"
"Los Angeles Rams","","2.4","1.0","0.6","0.0","0.2","0.0","23.6","353.9","6.5"
"Chicago Bears","","3.2","0.5","0.5","0.0","0.2","0.0","21.8","344.5","6.3"
"Miami Dolphins","","2.2","0.8","0.6","0.0","0.2","0.0","22.1","374.6","6.2"
"Minnesota Vikings","","2.7","0.7","0.6","0.0","0.1","0.0","21.8","338.0","6.2"
"New York Giants","","2.9","0.6","0.6","0.0","0.1","0.0","26.4","356.2","6.2"
"Green Bay Packers","","2.1","0.8","0.6","0.0","0.2","0.0","24.8","373.0","6.0"
"Cincinnati Bengals","","2.8","0.6","0.6","0.0","0.1","0.0","26.7","364.7","5.9"
"Tennessee Titans","","2.2","0.8","0.5","0.0","0.2","0.0","25.5","369.8","5.9"
"Kansas City Chiefs","","2.5","0.7","0.6","0.0","0.1","0.0","24.4","334.7","5.9"
"Arizona Cardinals","","2.7","0.7","0.5","0.0","0.1","0.0","24.8","340.6","5.9"
"Washington Redskins","","2.5","0.7","0.6","0.0","0.1","0.0","27.8","372.2","5.9"
"New England Patriots","","1.9","1.0","0.6","0.0","0.1","0.0","22.7","374.9","5.8"
"Atlanta Falcons","","2.4","0.7","0.6","0.0","0.1","0.0","25.8","357.5","5.7"
"Jacksonville Jaguars","","2.1","0.8","0.6","0.0","0.1","0.0","27.9","372.8","5.6"
"Indianapolis Colts","","2.3","0.7","0.6","0.0","0.1","0.0","25.4","369.1","5.6"
"Carolina Panthers","","2.2","0.8","0.5","0.0","0.1","0.0","26.6","388.0","5.5"
"Oakland Raiders","","1.9","0.8","0.5","0.0","0.1","0.0","21.3","363.5","5.4"
"Pittsburgh Steelers","","1.8","0.6","0.5","0.0","0.1","0.0","28.2","367.3","4.8"
"Houston Texans","","1.7","0.6","0.5","0.0","0.1","0.0","30.1","376.8","4.6"
""
""
