"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Randall Cobb","DAL","2.8","29.6","0.2","0.2","1.5","0.0","0.0","4.4"
"Willie Snead","BAL","2.9","33.7","0.2","0.1","0.5","0.0","0.0","4.4"
"James Washington","PIT","2.3","32.5","0.2","0.1","0.5","0.0","0.0","4.4"
"Marqise Lee","JAC","2.6","30.8","0.2","0.3","1.5","0.0","0.0","4.3"
"Keke Coutee","HOU","2.8","31.6","0.1","0.5","2.7","0.0","0.0","4.3"
"John Ross","CIN","2.4","28.5","0.2","0.2","1.5","0.0","0.0","4.2"
"DaeSean Hamilton","DEN","2.6","27.9","0.2","0.0","0.2","0.0","0.0","3.9"
"Kenny Stills","HOU","1.8","26.4","0.2","0.0","0.0","0.0","0.0","3.8"
"Chris Conley","JAC","2.4","23.3","0.2","0.0","0.0","0.0","0.0","3.8"
"Nelson Agholor","PHI","2.1","24.9","0.2","0.2","1.4","0.0","0.0","3.8"
"Breshad Perriman","TB","1.7","27.2","0.2","0.3","1.6","0.0","0.0","3.8"
"D.J. Chark","JAC","2.4","26.2","0.2","0.0","0.0","0.0","0.0","3.6"
"Michael Crabtree","ARI","2.5","25.7","0.2","0.1","0.5","0.0","0.0","3.6"
"Miles Boykin","BAL","2.0","27.0","0.2","0.0","0.0","0.0","0.0","3.6"
"Trey Quinn","WAS","2.5","24.9","0.2","0.0","0.1","0.0","0.0","3.6"
"Terry McLaurin","WAS","2.2","26.1","0.1","0.2","1.0","0.0","0.0","3.5"
"Devin Funchess","IND","2.3","24.8","0.1","0.0","0.0","0.0","0.0","3.3"
"Jakeem Grant","MIA","1.9","24.6","0.1","0.5","2.6","0.0","0.0","3.3"
"Jaron Brown","SEA","1.7","19.5","0.2","0.1","0.5","0.0","0.0","3.2"
"Andy Isabella","ARI","1.8","23.3","0.1","0.2","1.1","0.0","0.0","3.2"
"Rashard Higgins","CLE","1.8","22.5","0.2","0.0","0.0","0.0","0.0","3.2"
"Phillip Dorsett","NE","1.8","18.7","0.2","0.2","1.0","0.0","0.0","3.1"
"Cody Latimer","NYG","1.6","23.2","0.1","0.0","0.0","0.0","0.0","3.1"
"Bennie Fowler","NYG","1.8","22.4","0.1","0.0","0.0","0.0","0.0","3.0"
"Hunter Renfrow","OAK","2.0","21.7","0.1","0.0","0.0","0.0","0.0","3.0"
"Parris Campbell","IND","1.9","21.5","0.1","0.1","0.6","0.0","0.0","2.9"
"D.K. Metcalf","SEA","1.8","21.5","0.1","0.0","0.0","0.0","0.0","2.9"
"Travis Benjamin","LAC","1.3","20.4","0.1","0.3","1.8","0.0","0.0","2.9"
"Chad Beebe","MIN","1.8","21.2","0.1","0.0","0.0","0.0","0.0","2.8"
"Mecole Hardman","KC","1.4","19.0","0.1","0.0","0.0","0.0","0.0","2.7"
"J.J. Arcega-Whiteside","PHI","1.6","18.9","0.1","0.0","0.0","0.0","0.0","2.6"
"A.J. Brown","TEN","1.7","20.6","0.1","0.0","0.0","0.0","0.0","2.6"
"Tim Patrick","DEN","1.5","18.7","0.1","0.0","0.2","0.0","0.0","2.6"
"Taywan Taylor","CLE","1.4","18.4","0.1","0.0","0.0","0.0","0.0","2.5"
"Justin Watson","TB","1.6","17.7","0.1","0.0","0.0","0.0","0.0","2.5"
"Jake Kumerow","GB","1.7","17.3","0.1","0.0","0.0","0.0","0.0","2.4"
"Josh Reynolds","LAR","1.3","16.4","0.1","0.2","1.1","0.0","0.0","2.4"
"Chris Hogan","CAR","1.2","18.0","0.1","0.0","0.2","0.0","0.0","2.4"
"Allen Hurns","MIA","1.4","18.1","0.1","0.0","0.0","0.0","0.0","2.4"
"Tajae Sharpe","TEN","1.5","16.3","0.1","0.1","0.5","0.0","0.0","2.2"
"Cordarrelle Patterson","CHI","0.8","9.7","0.1","1.1","6.0","0.0","0.0","2.2"
"Jarius Wright","CAR","1.6","15.0","0.1","0.1","0.6","0.0","0.0","2.1"
"Olabisi Johnson","MIN","1.3","15.0","0.1","0.0","0.0","0.0","0.0","2.1"
"Jalen Hurd","SF","1.5","15.0","0.1","0.0","0.0","0.0","0.0","2.1"
"Ryan Switzer","PIT","1.6","12.9","0.1","0.3","1.8","0.0","0.0","2.1"
"Preston Williams","MIA","1.5","17.6","0.1","0.0","0.0","0.0","0.0","2.1"
"Damion Willis","CIN","1.3","16.7","0.1","0.0","0.0","0.0","0.0","2.0"
"Artavis Scott","LAC","1.0","12.0","0.1","0.3","2.0","0.0","0.0","2.0"
"Demaryius Thomas","NE","1.1","12.8","0.1","0.0","0.0","0.0","0.0","1.9"
"Demarcus Robinson","KC","0.9","11.2","0.1","0.0","0.0","0.0","0.0","1.9"
"J.J. Nelson","OAK","0.9","13.0","0.1","0.2","1.1","0.0","0.0","1.8"
"Alex Erickson","CIN","1.3","14.3","0.0","0.1","0.7","0.0","0.0","1.7"
"Seth Roberts","BAL","1.1","12.1","0.1","0.0","0.1","0.0","0.0","1.7"
"N'Keal Harry","NE","0.9","11.0","0.1","0.0","0.0","0.0","0.0","1.7"
"Keelan Cole","JAC","1.1","13.6","0.1","0.0","0.0","0.0","0.0","1.7"
