"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jerell Adams","HOU","0.4","3.8","0.0","0.0","0.6"
"Joshua Perkins","PHI","0.2","2.7","0.0","0.0","0.5"
"J.P. Holtz","WAS","0.4","3.0","0.0","0.0","0.5"
"Cethan Carter","CIN","0.2","2.4","0.0","0.0","0.4"
"Logan Thomas","DET","0.2","1.9","0.0","0.0","0.3"
"Sean Culkin","LAC","0.2","2.0","0.0","0.0","0.3"
"Andrew Beck","DEN","0.2","2.0","0.0","0.0","0.3"
"Troy Fumagalli","DEN","0.2","2.0","0.0","0.0","0.3"
"Jordan Franks","CIN","0.1","1.6","0.0","0.0","0.3"
"Hale Hentges","IND","0.1","2.0","0.0","0.0","0.3"
"Brandon Dillon","MIN","0.1","1.0","0.0","0.0","0.2"
"Pharaoh Brown","CLE","0.1","1.0","0.0","0.0","0.2"
""
""
