"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Will Fuller","HOU","3.5","57.7","0.3","0.1","0.4","0.0","0.0","9.1"
"Christian Kirk","ARI","3.9","60.0","0.2","0.2","2.0","0.0","0.1","9.1"
"Emmanuel Sanders","DEN","4.3","55.8","0.2","0.2","1.9","0.0","0.1","9.0"
"Michael Gallup","DAL","3.3","49.8","0.4","0.0","0.0","0.0","0.0","8.8"
"Corey Davis","TEN","4.2","55.4","0.2","0.3","2.1","0.0","0.0","8.8"
"Calvin Ridley","ATL","3.8","50.4","0.3","0.3","1.6","0.0","0.1","8.7"
"Sammy Watkins","KC","3.5","55.5","0.2","0.3","1.5","0.0","0.1","8.6"
"Marquise Goodwin","SF","3.4","48.3","0.2","0.2","1.3","0.0","0.0","8.0"
"John Brown","BUF","3.2","52.5","0.2","0.1","0.6","0.0","0.0","7.9"
"DeSean Jackson","PHI","3.0","49.4","0.2","0.2","1.6","0.0","0.0","7.9"
"Donte Moncrief","PIT","3.7","51.1","0.1","0.0","0.0","0.0","0.1","7.7"
"Albert Wilson","MIA","3.6","46.2","0.2","0.6","2.6","0.0","0.0","7.7"
"Jamison Crowder","NYJ","3.6","46.5","0.2","0.2","1.4","0.0","0.1","7.5"
"Mohamed Sanu","ATL","3.6","46.6","0.1","0.3","1.8","0.0","0.0","7.4"
"Geronimo Allison","GB","3.2","48.5","0.1","0.1","0.3","0.0","0.0","7.4"
"Ted Ginn","NO","3.5","44.9","0.1","0.4","2.5","0.0","0.1","7.3"
"Anthony Miller","CHI","2.7","38.5","0.3","0.3","1.7","0.0","0.0","7.1"
"Zay Jones","BUF","3.4","40.1","0.2","0.1","0.8","0.0","0.0","7.0"
"Marquez Valdes-Scantling","GB","3.2","46.2","0.1","0.1","1.3","0.0","0.0","7.0"
"Cole Beasley","BUF","3.6","40.5","0.1","0.0","0.3","0.0","0.0","6.5"
"James Washington","PIT","2.8","42.1","0.1","0.1","0.5","0.0","0.0","6.3"
"Paul Richardson","WAS","3.4","37.3","0.1","0.1","0.6","0.0","0.0","6.3"
"Quincy Enunwa","NYJ","3.3","40.5","0.1","0.1","0.2","0.0","0.1","6.3"
"Devante Parker","MIA","3.1","41.1","0.1","0.0","0.0","0.0","0.0","6.2"
"Danny Amendola","DET","4.0","37.0","0.1","0.0","0.1","0.0","0.1","6.2"
"Randall Cobb","DAL","3.2","35.7","0.1","0.3","1.2","0.0","0.0","6.1"
"Hunter Renfrow","OAK","3.3","36.3","0.1","0.0","0.2","0.0","0.1","6.0"
"Trey Quinn","WAS","3.4","36.7","0.1","0.1","0.3","0.0","0.1","6.0"
"Taylor Gabriel","CHI","3.1","33.1","0.1","0.5","3.4","0.0","0.0","6.0"
"Keke Coutee","HOU","3.1","37.3","0.1","0.3","1.1","0.0","0.0","6.0"
"Adam Humphries","TEN","3.3","36.8","0.1","0.1","0.8","0.0","0.0","5.9"
"DaeSean Hamilton","DEN","2.8","36.3","0.2","0.0","0.3","0.0","0.1","5.9"
