"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Sammy Watkins","KC","5.7","91.1","0.8","0.3","1.9","0.0","0.1","13.8"
"DeAndre Hopkins","HOU","7.0","88.8","0.8","0.0","0.0","0.0","0.1","13.3"
"Davante Adams","GB","7.1","85.4","0.8","0.0","0.0","0.0","0.1","12.9"
"Odell Beckham Jr.","CLE","6.5","87.3","0.7","0.3","1.5","0.0","0.1","12.8"
"Julio Jones","ATL","6.9","95.9","0.6","0.1","0.6","0.0","0.1","12.8"
"Keenan Allen","LAC","6.9","93.3","0.6","0.3","2.2","0.0","0.1","12.8"
"Michael Thomas","NO","8.4","90.5","0.6","0.0","0.0","0.0","0.1","12.6"
"JuJu Smith-Schuster","PIT","6.5","86.9","0.6","0.0","0.5","0.0","0.1","12.1"
"Amari Cooper","DAL","5.8","77.6","0.6","0.2","0.9","0.0","0.1","11.5"
"Julian Edelman","NE","6.2","76.7","0.6","0.7","5.9","0.0","0.1","11.4"
"T.Y. Hilton","IND","5.5","83.8","0.5","0.0","0.0","0.0","0.1","11.0"
"Mike Evans","TB","5.3","80.5","0.5","0.0","0.0","0.0","0.1","11.0"
"Adam Thielen","MIN","6.0","77.3","0.5","0.3","2.0","0.0","0.1","10.9"
"Tyler Boyd","CIN","5.7","72.4","0.6","0.3","1.9","0.0","0.1","10.8"
"D.J. Moore","CAR","6.0","73.9","0.4","0.9","9.8","0.0","0.2","10.6"
"Cooper Kupp","LAR","5.6","70.0","0.6","0.3","1.7","0.0","0.1","10.6"
"Brandin Cooks","LAR","5.1","76.2","0.5","0.5","2.6","0.0","0.1","10.5"
"Tyler Lockett","SEA","4.7","67.8","0.5","0.5","3.5","0.0","0.1","10.3"
"Tyrell Williams","OAK","5.0","70.1","0.5","0.1","0.5","0.0","0.1","10.1"
"Robert Woods","LAR","5.8","77.3","0.3","0.8","5.9","0.0","0.1","10.0"
"Alshon Jeffery","PHI","5.4","64.2","0.5","0.1","0.5","0.1","0.1","9.9"
"Josh Gordon","NE","4.1","67.0","0.5","0.0","0.0","0.0","0.0","9.8"
"John Brown","BUF","4.1","65.5","0.5","0.2","0.8","0.0","0.0","9.8"
"Kenny Golladay","DET","4.6","68.3","0.5","0.1","0.6","0.0","0.0","9.7"
"Allen Robinson","CHI","4.9","68.4","0.5","0.1","0.4","0.0","0.1","9.6"
"Stefon Diggs","MIN","5.4","62.4","0.5","0.4","2.2","0.0","0.1","9.4"
"Robby Anderson","NYJ","3.9","58.9","0.5","0.2","0.8","0.0","0.1","9.1"
"Chris Godwin","TB","5.1","68.5","0.4","0.0","0.0","0.0","0.1","8.8"
"DeSean Jackson","PHI","3.9","64.3","0.3","0.3","2.0","0.0","0.0","8.8"
"Jamison Crowder","NYJ","6.2","66.5","0.3","0.4","2.4","0.0","0.1","8.2"
"Michael Gallup","DAL","3.7","55.0","0.4","0.0","0.0","0.0","0.0","8.2"
"D.K. Metcalf","SEA","4.2","58.4","0.4","0.1","0.4","0.0","0.1","8.1"
"Larry Fitzgerald","ARI","4.8","55.7","0.4","0.0","0.3","0.0","0.0","8.1"
"Marquise Brown","BAL","3.1","48.6","0.5","0.4","3.0","0.0","0.1","7.8"
"John Ross","CIN","4.2","49.2","0.5","0.3","1.4","0.0","0.0","7.8"
"Courtland Sutton","DEN","3.7","54.6","0.4","0.1","0.1","0.0","0.0","7.7"
"Calvin Ridley","ATL","3.9","53.6","0.4","0.3","1.4","0.0","0.1","7.7"
"Jarvis Landry","CLE","4.2","58.8","0.2","0.5","3.7","0.0","0.1","7.6"
"Dede Westbrook","JAC","5.2","58.7","0.2","0.6","4.6","0.0","0.1","7.4"
"Curtis Samuel","CAR","3.7","46.2","0.3","0.5","5.9","0.1","0.1","7.1"
"Will Fuller","HOU","3.4","54.8","0.3","0.2","0.6","0.0","0.0","7.1"
"Christian Kirk","ARI","4.3","56.8","0.1","0.4","3.2","0.0","0.1","6.8"
"Antonio Brown","NE","3.0","47.1","0.3","0.0","0.1","0.0","0.0","6.7"
"Emmanuel Sanders","DEN","4.6","55.3","0.2","0.2","1.9","0.0","0.1","6.5"
"Marquez Valdes-Scantling","GB","3.8","55.3","0.1","0.3","1.9","0.0","0.0","6.4"
"Marvin Jones","DET","3.4","49.4","0.2","0.1","0.6","0.0","0.0","6.4"
"Corey Davis","TEN","3.8","50.8","0.1","0.3","2.0","0.0","0.0","6.1"
"Donte Moncrief","PIT","4.0","51.5","0.2","0.0","0.0","0.0","0.1","6.1"
"Mohamed Sanu","ATL","3.8","48.9","0.1","0.3","1.8","0.0","0.0","5.9"
"Mike Williams","LAC","2.3","42.8","0.2","0.3","1.6","0.0","0.0","5.9"
"Ted Ginn","NO","3.7","47.5","0.2","0.3","2.0","0.0","0.1","5.9"
"Devante Parker","MIA","3.3","52.2","0.1","0.0","0.0","0.0","0.0","5.8"
"Marquise Goodwin","SF","2.6","42.6","0.2","0.2","1.2","0.0","0.0","5.5"
"Danny Amendola","DET","4.8","47.9","0.1","0.1","0.2","0.0","0.1","5.4"
"Terry McLaurin","WAS","3.0","43.6","0.2","0.2","1.1","0.0","0.1","5.3"
"D.J. Chark","JAC","3.6","47.0","0.1","0.0","0.2","0.0","0.1","5.3"
"Cole Beasley","BUF","3.9","42.6","0.1","0.0","0.3","0.0","0.0","5.1"
"Paul Richardson","WAS","3.3","41.8","0.1","0.2","1.0","0.0","0.0","5.1"
"Randall Cobb","DAL","3.4","38.1","0.2","0.3","1.2","0.0","0.0","4.9"
"James Washington","PIT","2.8","42.5","0.1","0.1","0.5","0.0","0.0","4.9"
"Nelson Agholor","PHI","3.1","36.1","0.2","0.2","1.5","0.0","0.0","4.8"
"Cody Latimer","NYG","3.0","40.1","0.1","0.0","0.0","0.0","0.0","4.8"
"KeeSean Johnson","ARI","3.5","40.6","0.1","0.1","0.5","0.0","0.0","4.6"
"Trey Quinn","WAS","3.2","36.8","0.2","0.3","1.5","0.0","0.1","4.6"
"Zay Jones","BUF","2.8","36.1","0.1","0.1","1.0","0.0","0.0","4.6"
"Phillip Dorsett","NE","2.7","32.6","0.2","0.2","1.1","0.0","0.0","4.6"
"Breshad Perriman","TB","2.6","39.0","0.1","0.2","0.8","0.0","0.0","4.6"
"Willie Snead","BAL","3.2","37.2","0.1","0.1","0.7","0.0","0.0","4.6"
"Chris Conley","JAC","3.4","38.7","0.1","0.0","0.0","0.0","0.1","4.5"
"Sterling Shepard","NYG","2.9","38.3","0.1","0.2","1.5","0.0","0.0","4.5"
"Tre'Quan Smith","NO","2.4","33.5","0.2","0.1","0.4","0.0","0.0","4.5"
"Taylor Gabriel","CHI","3.2","35.5","0.1","0.5","3.1","0.0","0.0","4.5"
"Geronimo Allison","GB","2.4","38.1","0.1","0.1","0.5","0.0","0.0","4.5"
"Demarcus Robinson","KC","2.4","33.0","0.2","0.0","0.0","0.0","0.0","4.4"
"A.J. Brown","TEN","2.6","38.3","0.1","0.1","0.9","0.0","0.1","4.4"
"Rashard Higgins","CLE","2.3","35.0","0.1","0.0","0.1","0.0","0.1","4.3"
"Dante Pettis","SF","1.9","33.4","0.1","0.1","0.3","0.0","0.0","4.2"
"Kenny Stills","HOU","2.2","32.5","0.2","0.0","0.0","0.0","0.0","4.2"
"Preston Williams","MIA","2.5","35.5","0.1","0.1","0.3","0.0","0.1","4.0"
"Adam Humphries","TEN","2.9","33.1","0.1","0.1","0.8","0.0","0.0","4.0"
"DaeSean Hamilton","DEN","2.9","32.3","0.1","0.0","0.2","0.0","0.0","4.0"
"Albert Wilson","MIA","2.0","30.3","0.1","0.5","2.0","0.0","0.0","3.9"
"Hunter Renfrow","OAK","2.7","32.6","0.1","0.1","0.3","0.0","0.1","3.9"
"Travis Benjamin","LAC","2.1","31.3","0.1","0.4","1.9","0.0","0.0","3.8"
"Jakeem Grant","MIA","2.5","32.8","0.1","0.3","1.5","0.0","0.0","3.8"
"Mecole Hardman","KC","2.0","29.5","0.1","0.0","0.2","0.0","0.1","3.7"
"Deebo Samuel","SF","2.5","33.1","0.1","0.1","0.4","0.0","0.1","3.7"
"Keke Coutee","HOU","2.2","28.4","0.1","0.2","0.3","0.0","0.0","3.4"
"Anthony Miller","CHI","1.4","22.2","0.2","0.3","1.6","0.0","0.0","3.4"
"Cordarrelle Patterson","CHI","1.8","20.3","0.1","1.2","7.1","0.0","0.0","3.4"
"Ryan Grant","OAK","2.6","28.0","0.1","0.0","0.0","0.0","0.0","3.4"
"Jaron Brown","SEA","1.9","23.7","0.2","0.0","0.3","0.0","0.0","3.3"
"Damion Willis","CIN","2.1","27.3","0.1","0.0","0.2","0.0","0.0","3.3"
"Miles Boykin","BAL","1.5","23.6","0.2","0.1","0.3","0.0","0.1","3.3"
"Bennie Fowler","NYG","2.6","27.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Allen Hurns","MIA","1.9","25.7","0.1","0.0","0.0","0.0","0.0","3.2"
"Demaryius Thomas","NYJ","2.1","24.1","0.1","0.0","0.0","0.0","0.0","3.2"
"Josh Reynolds","LAR","1.7","23.8","0.1","0.1","0.4","0.0","0.0","3.0"
"Diontae Johnson","PIT","1.8","22.6","0.1","0.0","0.1","0.0","0.0","3.0"
"Kendrick Bourne","SF","1.9","23.4","0.1","0.0","0.0","0.0","0.0","2.9"
"Damiere Byrd","ARI","2.0","22.8","0.1","0.0","0.1","0.0","0.0","2.9"
"Justin Hardy","ATL","2.3","18.6","0.2","0.0","0.0","0.0","0.0","2.8"
"Ryan Switzer","PIT","2.4","21.3","0.1","0.3","1.4","0.0","0.1","2.8"
"Marqise Lee","JAC","1.7","23.6","0.0","0.2","1.7","0.0","0.0","2.8"
"Jarius Wright","CAR","2.2","20.7","0.1","0.1","1.1","0.0","0.0","2.8"
