"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ty Montgomery","NYJ","4.2","16.2","0.1","1.0","8.9","0.0","0.1","3.1"
"Dare Ogunbowale","TB","1.4","5.7","0.0","2.8","19.5","0.1","0.0","3.0"
"D'Ernest Johnson","CLE","1.5","7.0","0.0","1.3","12.5","0.0","0.1","2.4"
"Darrell Henderson","LAR","2.5","11.1","0.1","0.9","7.4","0.0","0.1","2.3"
"Ryquell Armstead","JAC","3.5","13.9","0.1","0.4","4.0","0.0","0.1","2.1"
"Darwin Thompson","KC","2.0","9.1","0.1","0.6","6.1","0.0","0.1","1.9"
"Jeff Wilson","SF","2.2","9.9","0.1","0.4","3.2","0.0","0.0","1.8"
"Devontae Booker","DEN","1.9","7.0","0.0","1.2","8.5","0.0","0.1","1.8"
"Reggie Bonnafon","CAR","1.8","8.5","0.1","0.5","4.8","0.0","0.1","1.7"
"Kerrith Whyte","CHI","1.9","7.6","0.1","0.2","2.1","0.0","0.0","1.6"
"Qadree Ollison","ATL","1.6","7.0","0.1","0.3","2.7","0.0","0.0","1.6"
"Brandon Bolden","NE","0.6","4.9","0.2","0.0","0.3","0.0","0.0","1.6"
"J.D. McKissic","DET","0.8","3.2","0.0","1.2","8.9","0.1","0.0","1.6"
"Samaje Perine","CIN","2.6","10.3","0.1","0.2","1.6","0.0","0.0","1.5"
"Kyle Juszczyk","SF","0.3","1.5","0.0","1.2","11.4","0.1","0.1","1.5"
"Patrick DiMarco","BUF","0.2","0.9","0.0","1.1","9.6","0.1","0.0","1.5"
"Wendell Smallwood","WAS","1.6","6.5","0.1","0.4","3.4","0.0","0.0","1.4"
"DeAndre Washington","OAK","2.1","7.9","0.1","0.5","2.5","0.0","0.0","1.4"
"Chase Edmonds","ARI","2.4","7.8","0.0","0.6","2.8","0.0","0.0","1.3"
"Trayveon Williams","CIN","1.3","5.8","0.1","0.1","0.8","0.0","0.0","1.3"
"Ty Johnson","DET","1.5","6.6","0.0","0.5","4.8","0.0","0.1","1.2"
"Travis Homer","SEA","1.8","7.6","0.1","0.1","1.0","0.0","0.0","1.2"
"Alex Armah","CAR","0.8","1.5","0.2","0.0","-0.4","0.0","0.0","1.1"
"Anthony Sherman","KC","0.2","1.0","0.0","0.7","7.2","0.0","0.0","1.1"
"Alec Ingold","OAK","0.7","3.4","0.0","0.6","4.1","0.1","0.0","1.0"
"Darrel Williams","KC","0.9","3.5","0.0","0.2","1.8","0.0","0.0","1.0"
"Ameer Abdullah","MIN","1.7","6.5","0.0","0.3","2.1","0.0","0.0","0.9"
"James Develin","NE","0.4","1.1","0.1","0.5","3.2","0.0","0.0","0.9"
"Bilal Powell","NYJ","1.1","4.7","0.0","0.2","1.7","0.0","0.0","0.9"
"Corey Clement","PHI","1.0","4.3","0.0","0.2","1.4","0.0","0.0","0.9"
"Dexter Williams","GB","0.8","3.8","0.1","0.1","1.5","0.0","0.0","0.8"
"T.J. Yeldon","BUF","1.2","4.7","0.0","0.2","1.9","0.0","0.0","0.8"
"Jordan Wilkins","IND","1.1","5.8","0.0","0.2","1.3","0.0","0.0","0.8"
"Benny Snell Jr.","PIT","1.2","4.9","0.0","0.1","0.5","0.0","0.0","0.8"
"Brian Hill","ATL","0.9","5.6","0.0","0.4","1.6","0.0","0.0","0.7"
"David Fluellen","TEN","1.4","5.6","0.0","0.1","1.0","0.0","0.0","0.7"
"Damien Harris","NE","0.7","2.9","0.1","0.1","0.8","0.0","0.0","0.7"
"CJ Ham","MIN","0.4","1.3","0.0","0.6","4.8","0.0","0.0","0.6"
"Jordan Scarlett","CAR","0.9","4.2","0.0","0.0","0.3","0.0","0.0","0.6"
"Mark Walton","MIA","0.9","3.5","0.0","0.2","2.1","0.0","0.0","0.6"
"Zach Line","NO","0.6","2.3","0.0","0.3","1.4","0.0","0.0","0.6"
"Elijhaa Penny","NYG","1.0","4.0","0.0","0.2","1.1","0.0","0.0","0.6"
"Trenton Cannon","NYJ","0.9","3.8","0.0","0.1","0.6","0.0","0.0","0.6"
"Derek Watt","LAC","1.0","3.6","0.0","0.2","1.1","0.0","0.0","0.5"
"Kenjon Barner","ATL","0.6","2.4","0.0","0.2","1.1","0.0","0.0","0.5"
"Devine Ozigbo","JAC","1.3","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Mike Boone","MIN","0.9","3.2","0.0","0.2","1.1","0.0","0.0","0.5"
"Patrick Ricard","BAL","0.1","0.3","0.0","0.3","1.7","0.0","0.0","0.4"
"Nick Bawden","DET","0.2","0.6","0.0","0.5","3.6","0.0","0.0","0.4"
"Dwayne Washington","NO","0.9","4.0","0.0","0.0","0.1","0.0","0.0","0.4"
"Shaun Wilson","WAS","0.3","1.2","0.0","0.3","1.8","0.0","0.0","0.4"
"Andy Janovich","DEN","0.3","1.1","0.0","0.3","1.9","0.0","0.0","0.4"
"Buddy Howell","HOU","0.6","2.1","0.0","0.1","0.5","0.0","0.0","0.4"
"C.J. Prosise","SEA","0.5","1.5","0.0","0.1","1.0","0.0","0.0","0.3"
"Keith Smith","ATL","0.3","1.2","0.0","0.2","1.6","0.0","0.0","0.3"
"Josh Adams","NYJ","0.4","1.9","0.0","0.1","0.6","0.0","0.0","0.3"
"Jamize Olawale","DAL","0.2","0.8","0.0","0.3","2.1","0.0","0.0","0.3"
"D.J. Foster","ARI","0.3","1.3","0.0","0.1","0.9","0.0","0.0","0.3"
"Troymaine Pope","LAC","0.4","1.5","0.0","0.1","0.6","0.0","0.0","0.3"
"Jonathan Williams","IND","0.4","1.3","0.0","0.1","0.8","0.0","0.0","0.3"
"T.J. Logan","TB","0.3","1.2","0.0","0.2","1.1","0.0","0.0","0.3"
"Paul Perkins","NYG","0.2","0.9","0.0","0.1","0.9","0.0","0.0","0.2"
"Dan Vitale","GB","0.3","1.0","0.0","0.1","0.7","0.0","0.0","0.2"
"Chandler Cox","MIA","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Tyler Ervin","JAC","0.3","1.1","0.0","0.1","0.6","0.0","0.0","0.2"
"Myles Gaskin","MIA","0.2","0.8","0.0","0.1","1.2","0.0","0.0","0.2"
"Nick Bellore","SEA","0.1","0.8","0.0","0.1","0.7","0.0","0.0","0.2"
"Roosevelt Nix","PIT","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Taiwan Jones","HOU","0.2","0.4","0.0","0.1","0.4","0.0","0.0","0.1"
"Cullen Gillaspia","HOU","0.2","0.6","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
