"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","17.4","83.0","0.7","6.8","56.4","0.3","0.2","19.8"
"Saquon Barkley","NYG","18.0","84.9","0.6","5.3","39.4","0.2","0.2","16.8"
"Alvin Kamara","NO","13.7","65.3","0.6","6.1","51.9","0.2","0.2","16.3"
"Ezekiel Elliott","DAL","18.9","88.3","0.7","3.6","28.2","0.2","0.2","16.3"
"Nick Chubb","CLE","19.8","93.2","0.7","2.3","18.6","0.1","0.2","16.0"
"Le'Veon Bell","NYJ","18.3","78.6","0.6","4.1","33.8","0.2","0.2","15.9"
"Austin Ekeler","LAC","12.2","53.8","0.6","5.0","47.3","0.3","0.1","15.1"
"Derrick Henry","TEN","19.0","83.6","0.8","1.2","13.6","0.1","0.2","14.5"
"Dalvin Cook","MIN","16.8","75.7","0.6","3.9","30.6","0.1","0.2","14.4"
"James Conner","PIT","16.2","68.4","0.7","3.6","30.2","0.1","0.2","14.4"
"Chris Carson","SEA","17.0","74.5","0.6","3.6","26.8","0.1","0.2","13.9"
"Todd Gurley","LAR","14.8","67.4","0.7","2.3","21.3","0.1","0.1","13.6"
"Josh Jacobs","OAK","16.1","70.3","0.7","2.6","22.1","0.1","0.2","13.4"
"Leonard Fournette","JAC","17.2","65.7","0.5","4.3","33.5","0.1","0.2","13.4"
"Mark Ingram","BAL","15.8","74.4","0.7","1.5","11.8","0.1","0.2","13.1"
"Sony Michel","NE","19.4","81.7","0.7","0.8","6.6","0.0","0.2","12.9"
"Marlon Mack","IND","18.4","82.5","0.6","1.6","10.5","0.0","0.2","12.9"
"Damien Williams","KC","11.2","48.1","0.6","3.6","32.5","0.2","0.1","12.6"
"David Johnson","ARI","15.1","54.8","0.5","4.2","33.5","0.1","0.2","12.4"
"Matt Breida","SF","14.5","62.9","0.5","2.3","20.2","0.1","0.2","11.7"
"Duke Johnson","HOU","10.3","40.9","0.2","4.1","34.8","0.4","0.1","11.1"
"Adrian Peterson","WAS","15.5","59.3","0.6","1.6","11.1","0.1","0.2","10.6"
"Phillip Lindsay","DEN","12.3","55.2","0.5","2.8","20.4","0.1","0.1","10.6"
"Devonta Freeman","ATL","12.9","52.4","0.5","2.7","19.9","0.1","0.2","10.6"
"Kerryon Johnson","DET","14.1","65.8","0.3","2.8","19.0","0.1","0.2","10.3"
"Aaron Jones","GB","13.1","62.6","0.3","2.0","16.3","0.1","0.1","10.2"
"James White","NE","5.4","23.7","0.2","4.9","42.3","0.3","0.1","9.0"
"Miles Sanders","PHI","10.2","43.9","0.4","2.2","16.2","0.1","0.2","8.6"
"Giovani Bernard","CIN","9.5","37.6","0.3","3.2","26.5","0.1","0.2","8.2"
"Devin Singletary","BUF","9.5","43.9","0.2","2.6","24.2","0.1","0.2","8.1"
"LeSean McCoy","KC","10.6","45.3","0.2","2.0","18.3","0.1","0.1","8.0"
"David Montgomery","CHI","12.2","50.3","0.2","1.3","12.0","0.0","0.2","7.6"
"Rex Burkhead","NE","7.1","30.1","0.2","2.7","23.9","0.2","0.1","7.4"
"Kenyan Drake","MIA","7.7","34.3","0.1","2.9","26.3","0.1","0.1","7.4"
"Tarik Cohen","CHI","3.4","15.0","0.1","5.0","44.7","0.2","0.2","7.3"
"Carlos Hyde","HOU","11.3","43.1","0.5","0.7","3.6","0.0","0.1","7.3"
"Justin Jackson","LAC","10.2","42.7","0.2","1.7","14.2","0.1","0.1","7.0"
"Joe Mixon","CIN","9.7","41.0","0.2","1.9","14.0","0.0","0.1","7.0"
"Chris Thompson","WAS","5.0","19.8","0.1","5.0","37.2","0.1","0.1","6.8"
"Latavius Murray","NO","9.7","40.7","0.3","1.1","8.7","0.0","0.1","6.4"
"Frank Gore","BUF","11.9","50.5","0.1","0.7","5.5","0.0","0.1","6.3"
"Royce Freeman","DEN","10.9","43.1","0.2","1.0","6.5","0.0","0.1","6.0"
"Ronald Jones II","TB","10.1","42.2","0.2","1.1","7.7","0.0","0.1","5.8"
"Mike Davis","CHI","7.9","31.7","0.2","2.2","15.7","0.0","0.1","5.8"
"Peyton Barber","TB","10.3","41.3","0.2","1.2","8.2","0.0","0.1","5.8"
"Darren Sproles","PHI","6.1","27.2","0.1","2.2","18.5","0.1","0.1","5.7"
"Raheem Mostert","SF","9.1","41.4","0.2","0.9","6.9","0.0","0.2","5.5"
"Gus Edwards","BAL","10.0","44.7","0.2","0.3","1.4","0.0","0.1","5.4"
"Jordan Howard","PHI","8.1","34.5","0.2","1.2","8.0","0.0","0.1","5.4"
"C.J. Anderson","DET","9.1","39.5","0.2","0.6","4.0","0.0","0.1","5.3"
"Dion Lewis","TEN","5.5","22.4","0.1","3.1","20.8","0.1","0.1","5.2"
"Jamaal Williams","GB","7.1","28.0","0.1","1.9","15.2","0.0","0.1","5.1"
"Malcolm Brown","LAR","10.0","40.3","0.2","0.4","2.7","0.0","0.1","5.1"
"Ito Smith","ATL","8.1","30.4","0.2","1.6","10.9","0.0","0.1","5.0"
"Jalen Richard","OAK","3.6","17.7","0.1","3.3","27.2","0.1","0.2","4.9"
"Rashaad Penny","SEA","8.3","36.5","0.1","0.9","6.6","0.0","0.1","4.9"
"Kalen Ballage","MIA","7.5","32.2","0.1","1.6","11.5","0.0","0.1","4.7"
"Jaylen Samuels","PIT","4.7","20.1","0.1","1.9","14.1","0.1","0.1","4.7"
"Justice Hill","BAL","6.3","28.1","0.2","0.8","5.5","0.0","0.1","4.4"
"Nyheim Hines","IND","4.6","17.9","0.1","2.8","18.4","0.1","0.1","4.3"
"Tony Pollard","DAL","5.9","26.1","0.1","0.7","5.3","0.0","0.1","3.9"
"Wayne Gallman","NYG","5.5","21.5","0.1","1.7","11.7","0.0","0.1","3.8"
"Alexander Mattison","MIN","6.0","24.1","0.1","1.2","8.2","0.0","0.1","3.8"
"Dontrell Hilliard","CLE","3.1","12.9","0.1","1.3","13.7","0.0","0.1","3.3"
