"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.3","91.1","0.8","0.1","13.5"
"George Kittle","SF","5.9","80.4","0.5","0.1","11.0"
"Evan Engram","NYG","5.8","65.9","0.6","0.1","9.9"
"Darren Waller","OAK","5.8","62.9","0.5","0.1","9.3"
"Zach Ertz","PHI","6.3","60.0","0.6","0.1","9.1"
"O.J. Howard","TB","4.3","56.1","0.6","0.1","8.7"
"Delanie Walker","TEN","4.7","47.6","0.5","0.1","7.8"
"T.J. Hockenson","DET","4.3","48.2","0.5","0.1","7.7"
"Mark Andrews","BAL","3.8","47.1","0.5","0.0","7.6"
"Austin Hooper","ATL","4.7","43.5","0.4","0.0","7.0"
"Jared Cook","NO","3.3","43.6","0.4","0.0","7.0"
"Vance McDonald","PIT","3.6","41.6","0.5","0.1","6.8"
"David Njoku","CLE","3.7","42.9","0.3","0.0","5.8"
"Greg Olsen","CAR","3.4","34.4","0.3","0.0","5.2"
"Jimmy Graham","GB","3.6","38.3","0.2","0.0","5.0"
"Tyler Eifert","CIN","3.2","33.9","0.2","0.0","4.4"
"Vernon Davis","WAS","2.5","33.6","0.2","0.0","4.4"
"Eric Ebron","IND","2.9","28.9","0.2","0.0","4.1"
"Noah Fant","DEN","3.0","31.9","0.1","0.1","3.9"
"Kyle Rudolph","MIN","3.1","28.7","0.2","0.0","3.8"
"Dallas Goedert","PHI","2.2","21.8","0.2","0.0","3.5"
"Jason Witten","DAL","2.7","25.3","0.1","0.0","3.4"
"Ryan Griffin","NYJ","2.1","25.8","0.1","0.0","3.3"
"Will Dissly","SEA","1.7","24.6","0.1","0.0","3.3"
"Mike Gesicki","MIA","2.1","28.0","0.1","0.1","3.2"
"Jordan Reed","WAS","2.7","24.2","0.1","0.0","3.0"
"Tyler Higbee","LAR","1.9","21.1","0.1","0.0","3.0"
"Trey Burton","CHI","2.1","23.2","0.1","0.0","2.9"
"Cameron Brate","TB","2.0","17.8","0.2","0.0","2.9"
"Jack Doyle","IND","2.8","24.2","0.1","0.1","2.9"
"Geoff Swaim","JAC","2.5","23.6","0.1","0.0","2.8"
