,,Fantasy,,Extra Points,,Field Goals,,Field Goal Distance,,,,This Week,
Name,Games,Points,Pts/G,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+,Opp,Opp K This Week
49ers,1,.00,0.0,2,2,1,1,0-0,1-1,0-0,0-0,@CIN,Randy Bullock
Bears,1,.00,0.0,1,1,1,1,0-0,1-1,0-0,0-0,@DEN,Brandon McManus
Bengals,1,.00,0.0,3,3,0,0,0-0,0-0,0-0,0-0,SF,Robbie Gould
Bills,1,.00,0.0,0,1,0,1,0-0,0-0,0-1,0-0,@NYG,Aldrick Rosas
Broncos,1,.00,0.0,3,3,1,1,1-1,0-0,0-0,0-0,CHI,Eddy Pineiro
Browns,1,.00,0.0,5,5,2,2,0-0,1-1,0-0,1-1,@NYJ,Sam Ficken
Buccaneers,1,.00,0.0,2,2,3,4,1-1,1-1,1-1,0-1,@CAR,Joey Slye
Cardinals,1,.00,0.0,3,3,2,2,0-0,1-1,0-0,1-1,@BAL,Justin Tucker
Chargers,1,.00,0.0,1,2,1,3,0-1,0-0,1-2,0-0,@DET,Matt Prater
Chiefs,1,.00,0.0,2,2,2,2,1-1,1-1,0-0,0-0,@OAK,Daniel Carlson
Colts,1,.00,0.0,3,3,1,1,0-0,0-0,1-1,0-0,@TEN,Cairo Santos
Cowboys,1,.00,0.0,2,2,1,1,1-1,0-0,0-0,0-0,@WAS,Dustin Hopkins
Dolphins,1,.00,0.0,8,8,1,1,0-0,1-1,0-0,0-0,NE,Stephen Gostkowski
Eagles,1,.00,0.0,3,3,2,2,0-0,0-0,2-2,0-0,@ATL,Matt Bryant
Falcons,1,.00,0.0,4,4,0,0,0-0,0-0,0-0,0-0,PHI,Jake Elliott
Giants,1,.00,0.0,5,5,0,0,0-0,0-0,0-0,0-0,BUF,Stephen Hauschka
Jaguars,1,.00,0.0,4,4,4,4,2-2,1-1,1-1,0-0,@HOU,Ka'imi Fairbairn
Jets,1,.00,0.0,2,2,1,1,0-0,0-0,1-1,0-0,CLE,Austin Seibert
Lions,1,.00,0.0,1,1,4,4,2-2,1-1,1-1,0-0,LAC,Michael Badgley
Packers,1,.00,0.0,0,0,1,1,0-0,1-1,0-0,0-0,MIN,Dan Bailey
Panthers,1,.00,0.0,3,3,3,4,1-1,0-0,1-2,1-1,TB,Matt Gay
Patriots,1,.00,0.0,0,0,1,1,1-1,0-0,0-0,0-0,@MIA,Jason Sanders
Raiders,1,.00,0.0,1,1,3,4,2-2,1-1,0-0,0-1,KC,Harrison Butker
Rams,1,.00,0.0,3,3,2,3,0-0,0-0,1-1,1-2,NO,Wil Lutz
Ravens,1,.00,0.0,1,1,1,1,0-0,0-0,0-0,1-1,ARI,Zane Gonzalez
Redskins,1,.00,0.0,3,3,1,1,1-1,0-0,0-0,0-0,DAL,Brett Maher
Saints,1,.00,0.0,4,4,0,0,0-0,0-0,0-0,0-0,@LAR,Greg Zuerlein
Seahawks,1,.00,0.0,2,2,2,3,1-1,1-1,0-1,0-0,@PIT,Chris Boswell
Steelers,1,.00,0.0,3,3,4,4,1-1,2-2,1-1,0-0,SEA,Jason Myers
Texans,1,.00,0.0,3,3,3,4,0-0,1-1,1-1,1-2,JAX,Josh Lambo
Titans,1,.00,0.0,1,2,0,0,0-0,0-0,0-0,0-0,IND,Adam Vinatieri
