PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Levine Toilolo,TE,SF,@TB,-110,51.00,1.00,25.00,2500,1.6,0.6,1.20
C.J. Anderson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3900,8.0,2.1,1.13
Drew Sample,TE,CIN,@SEA,-110,44.00,9.50,17.25,2500,1.4,0.6,1.11
Alex Erickson,WR,CIN,@SEA,-110,44.00,9.50,17.25,3200,2.6,0.8,1.07
Mo Alie-Cox,TE,IND,@LAC,-110,44.50,6.50,19.00,2500,2.6,1.0,1.05
Chester Rogers,WR,IND,@LAC,-110,44.50,6.50,19.00,3300,3.8,1.2,1.04
Raheem Mostert,RB,SF,@TB,-110,51.00,1.00,25.00,3700,2.2,0.6,0.95
Kaden Smith,TE,SF,@TB,-110,51.00,1.00,25.00,2500,0.9,0.4,0.89
Devin Smith,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,1.5,0.5,0.76
Tanner Hudson,TE,TB,SF,-110,51.00,-1.00,26.00,2500,1.2,0.5,0.69
Parris Campbell,WR,IND,@LAC,-110,44.50,6.50,19.00,3800,3.1,0.8,0.68
Charles Clay,TE,ARI,DET,-105,46.50,2.50,22.00,2700,4.7,1.7,0.67
Wayne Gallman,RB,NYG,@DAL,-115,45.50,7.50,19.00,3000,2.7,0.9,0.65
Justin Watson,WR,TB,SF,-110,51.00,-1.00,26.00,3200,2.2,0.7,0.65
Alfred Morris,RB,DAL,NYG,-105,45.50,-7.50,26.50,3500,1.3,0.4,0.65
Dontrelle Inman,WR,LAC,IND,-110,44.50,-6.50,25.50,3200,2.7,0.9,0.62
Darius Slayton,WR,NYG,@DAL,-115,45.50,7.50,19.00,3200,2.0,0.6,0.61
Deon Cain,WR,IND,@LAC,-110,44.50,6.50,19.00,3000,2.6,0.9,0.54
Trent Sherfield,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.5,1.8,0.48
Jordan Wilkins,RB,IND,@LAC,-110,44.50,6.50,19.00,3000,2.9,1.0,0.45
Bobo Wilson,WR,TB,SF,-110,51.00,-1.00,26.00,3000,1.5,0.5,0.42
Ricky Seals-Jones,TE,CLE,TEN,-110,45.50,-5.50,25.50,2700,0.9,0.3,0.41
KeeSean Johnson,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.1,1.7,0.38
Jordan Chunn,RB,DAL,NYG,-105,45.50,-7.50,26.50,3000,0.4,0.1,0.38
Geremy Davis,WR,LAC,IND,-110,44.50,-6.50,25.50,3000,1.8,0.6,0.34
Bennie Fowler,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,1.1,0.4,0.32
Trayveon Williams,RB,CIN,@SEA,-110,44.00,9.50,17.25,3000,0.4,0.1,0.30
T.J. Logan,RB,TB,SF,-110,51.00,-1.00,26.00,3000,1.3,0.4,0.29
Maxx Williams,TE,ARI,DET,-105,46.50,2.50,22.00,2500,3.2,1.3,0.28
Troymaine Pope,RB,LAC,IND,-110,44.50,-6.50,25.50,3000,2.0,0.7,0.28
Matthew Stafford,QB,DET,@ARI,-115,46.50,-2.50,24.50,5400,16.5,3.1,0.25
Russell Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,0.7,0.2,0.24
Scott Miller,WR,TB,SF,-110,51.00,-1.00,26.00,3000,0.7,0.2,0.23
Zach Pascal,WR,IND,@LAC,-110,44.50,6.50,19.00,3100,1.4,0.4,0.22
Cody Core,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,0.3,0.1,0.18
Paul Perkins,RB,NYG,@DAL,-115,45.50,7.50,19.00,3300,0.4,0.1,0.14
Eli Manning,QB,NYG,@DAL,-115,45.50,7.50,19.00,5000,13.3,2.7,0.11
Andy Isabella,WR,ARI,DET,-105,46.50,2.50,22.00,3400,3.7,1.1,0.10
Chase Edmonds,RB,ARI,DET,-105,46.50,2.50,22.00,3100,4.2,1.4,0.09
Jacoby Brissett,QB,IND,@LAC,-110,44.50,6.50,19.00,5300,14.0,2.6,0.05
J.D. McKissic,RB,DET,@ARI,-115,46.50,-2.50,24.50,3100,2.5,0.8,0.04
Chris Lacy,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.8,0.6,0.03
Michael Crabtree,WR,ARI,DET,-105,46.50,2.50,22.00,3400,2.2,0.6,0.02
Travis Fulgham,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.4,0.5,0.01
D.J. Foster,RB,ARI,DET,-105,46.50,2.50,22.00,3000,1.0,0.3,0.00
Ty Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3000,0.8,0.3,0.00
