PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
T.J. Yeldon,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3300,5.8,1.7,0.77
Charles Clay,TE,ARI,DET,-105,46.50,2.50,22.00,2700,4.7,1.7,0.74
Virgil Green,TE,LAC,IND,-110,44.50,-6.50,25.50,2500,3.4,1.4,0.74
C.J. Prosise,RB,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.2,0.7,0.73
LeSean McCoy,RB,KC,@JAX,-120,51.50,-3.00,27.25,4600,7.4,1.6,0.72
Mecole Hardman,WR,KC,@JAX,-120,51.50,-3.00,27.25,4100,6.4,1.6,0.72
Taywan Taylor,WR,CLE,TEN,-110,45.50,-5.50,25.50,3100,4.9,1.6,0.71
Ryan Griffin,TE,NYJ,BUF,-115,40.50,-2.50,21.50,2700,5.3,2.0,0.70
Jakobi Meyers,WR,NE,PIT,-110,49.00,-5.50,27.25,3200,4.5,1.4,0.70
Keith Kirkwood,WR,NO,HOU,-105,52.50,-7.00,29.75,3200,3.4,1.1,0.70
Tim Patrick,WR,DEN,@OAK,-110,43.00,-2.50,22.75,3200,5.8,1.8,0.69
Cole Beasley,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3600,5.8,1.6,0.69
Ryquell Armstead,RB,JAX,KC,100,51.50,3.00,24.25,3000,3.3,1.1,0.68
Dawson Knox,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2500,3.7,1.5,0.67
Rhett Ellison,TE,NYG,@DAL,-115,45.50,7.50,19.00,2500,3.0,1.2,0.67
Alexander Mattison,RB,MIN,ATL,-110,47.50,-4.00,25.75,3800,3.6,0.9,0.66
Demetrius Harris,TE,CLE,TEN,-110,45.50,-5.50,25.50,2500,3.1,1.2,0.66
Willie Snead,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4000,7.8,2.0,0.65
Malcolm Brown,RB,LAR,@CAR,-110,50.00,-1.50,25.75,3800,5.5,1.4,0.65
Chris Hogan,WR,CAR,LAR,-110,50.00,1.50,24.25,3300,4.9,1.5,0.65
Darren Sproles,RB,PHI,WAS,-110,45.00,-10.00,27.50,3100,3.5,1.1,0.65
John Ursua,WR,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.7,0.9,0.63
Ryan Fitzpatrick,QB,MIA,BAL,-110,38.50,6.50,16.00,4900,16.2,3.3,0.61
Darren Fells,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,1.5,0.6,0.60
Diontae Johnson,WR,PIT,@NE,-110,49.00,5.50,21.75,3000,3.4,1.1,0.59
Ty Montgomery,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3200,7.5,2.3,0.58
Miles Boykin,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,6.6,2.2,0.58
Jeff Heuerman,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2800,3.7,1.3,0.57
Gary Jennings,WR,SEA,CIN,-110,44.00,-9.50,26.75,3000,2.5,0.8,0.57
J.J. Nelson,WR,OAK,DEN,-110,43.00,2.50,20.25,3200,5.8,1.8,0.56
Trent Sherfield,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.5,1.8,0.55
Mo Alie-Cox,TE,IND,@LAC,-110,44.50,6.50,19.00,2500,2.6,1.0,0.54
Dalton Schultz,TE,DAL,NYG,-105,45.50,-7.50,26.50,2500,1.7,0.7,0.54
Xavier Grimble,TE,PIT,@NE,-110,49.00,5.50,21.75,2700,1.7,0.6,0.54
Tyler Conklin,TE,MIN,ATL,-110,47.50,-4.00,25.75,2500,1.6,0.6,0.52
Levine Toilolo,TE,SF,@TB,-110,51.00,1.00,25.00,2500,1.6,0.6,0.52
Jeremy Sprinkle,TE,WAS,@PHI,-110,45.00,10.00,17.50,2500,1.4,0.6,0.50
Josh Oliver,TE,JAX,KC,100,51.50,3.00,24.25,2700,1.6,0.6,0.49
Dontrell Hilliard,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,4.1,1.4,0.48
Tajae Sharpe,WR,TEN,@CLE,-110,45.50,5.50,20.00,3000,2.9,1.0,0.48
KeeSean Johnson,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.1,1.7,0.47
Mike Gesicki,TE,MIA,BAL,-110,38.50,6.50,16.00,3000,6.3,2.1,0.46
Maxx Williams,TE,ARI,DET,-105,46.50,2.50,22.00,2500,3.2,1.3,0.46
Case Keenum,QB,WAS,@PHI,-110,45.00,10.00,17.50,4900,9.2,1.9,0.45
DeVante Parker,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,9.0,2.3,0.43
Jaron Brown,WR,SEA,CIN,-110,44.00,-9.50,26.75,3100,1.9,0.6,0.43
Drew Sample,TE,CIN,@SEA,-110,44.00,9.50,17.25,2500,1.4,0.6,0.43
DeAndre Carter,WR,HOU,@NO,-115,52.50,7.00,22.75,3300,2.2,0.6,0.42
Ryan Izzo,TE,NE,PIT,-110,49.00,-5.50,27.25,2500,1.6,0.6,0.42
Raheem Mostert,RB,SF,@TB,-110,51.00,1.00,25.00,3700,2.2,0.6,0.41
Chester Rogers,WR,IND,@LAC,-110,44.50,6.50,19.00,3300,3.8,1.2,0.40
Deon Yelder,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,2.5,1.0,0.40
Kaden Smith,TE,SF,@TB,-110,51.00,1.00,25.00,2500,0.9,0.4,0.40
Logan Paulsen,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,0.5,0.2,0.40
MyCole Pruitt,TE,TEN,@CLE,-110,45.50,5.50,20.00,2500,0.9,0.3,0.39
D'Ernest Johnson,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,3.6,1.2,0.38
J.J. Arcega-Whiteside,WR,PHI,WAS,-110,45.00,-10.00,27.50,3400,2.6,0.8,0.38
Corey Clement,RB,PHI,WAS,-110,45.00,-10.00,27.50,3200,2.3,0.7,0.38
Tyler Kroft,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2600,2.2,0.8,0.37
Kenyan Drake,RB,MIA,BAL,-110,38.50,6.50,16.00,4700,10.9,2.3,0.35
Tavon Austin,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,2.4,0.8,0.35
Wendell Smallwood,RB,WAS,@PHI,-110,45.00,10.00,17.50,3200,1.9,0.6,0.35
Tanner Hudson,TE,TB,SF,-110,51.00,-1.00,26.00,2500,1.2,0.5,0.34
Austin Carr,WR,NO,HOU,-105,52.50,-7.00,29.75,3000,1.8,0.6,0.33
Damien Harris,RB,NE,PIT,-110,49.00,-5.50,27.25,3300,2.9,0.9,0.32
Mike Boone,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,1.7,0.6,0.32
Darwin Thompson,RB,KC,@JAX,-120,51.50,-3.00,27.25,3000,4.2,1.4,0.31
Robert Davis,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,1.9,0.6,0.29
Jaeden Graham,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,1.4,0.6,0.29
Parris Campbell,WR,IND,@LAC,-110,44.50,6.50,19.00,3800,3.1,0.8,0.28
Alex Erickson,WR,CIN,@SEA,-110,44.00,9.50,17.25,3200,2.6,0.8,0.28
Dwayne Washington,RB,NO,HOU,-105,52.50,-7.00,29.75,3200,1.3,0.4,0.28
Albert Wilson,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,7.9,2.0,0.27
Zach Gentry,TE,PIT,@NE,-110,49.00,5.50,21.75,2500,0.2,0.1,0.27
Jordan Wilkins,RB,IND,@LAC,-110,44.50,6.50,19.00,3000,2.9,1.0,0.26
Wayne Gallman,RB,NYG,@DAL,-115,45.50,7.50,19.00,3000,2.7,0.9,0.26
Alfred Morris,RB,DAL,NYG,-105,45.50,-7.50,26.50,3500,1.3,0.4,0.26
Ricky Seals-Jones,TE,CLE,TEN,-110,45.50,-5.50,25.50,2700,0.9,0.3,0.26
Chase Edmonds,RB,ARI,DET,-105,46.50,2.50,22.00,3100,4.2,1.4,0.25
Dontrelle Inman,WR,LAC,IND,-110,44.50,-6.50,25.50,3200,2.7,0.9,0.25
Benny Snell,RB,PIT,@NE,-110,49.00,5.50,21.75,3300,1.3,0.4,0.25
Devine Ozigbo,RB,JAX,KC,100,51.50,3.00,24.25,3000,1.2,0.4,0.25
Deonte Harris,WR,NO,HOU,-105,52.50,-7.00,29.75,3000,1.2,0.4,0.24
Taiwan Jones,RB,HOU,@NO,-115,52.50,7.00,22.75,3000,0.8,0.3,0.24
Jakeem Grant,WR,MIA,BAL,-110,38.50,6.50,16.00,3000,6.7,2.2,0.23
Deon Cain,WR,IND,@LAC,-110,44.50,6.50,19.00,3000,2.6,0.9,0.22
Justin Watson,WR,TB,SF,-110,51.00,-1.00,26.00,3200,2.2,0.7,0.22
Mack Hollins,WR,PHI,WAS,-110,45.00,-10.00,27.50,3000,1.5,0.5,0.22
Gus Edwards,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3100,4.4,1.4,0.21
Foster Moreau,TE,OAK,DEN,-110,43.00,2.50,20.25,2600,1.7,0.6,0.21
Devin Smith,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,1.5,0.5,0.21
Seth Roberts,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,4.5,1.5,0.20
Andy Isabella,WR,ARI,DET,-105,46.50,2.50,22.00,3400,3.7,1.1,0.20
Nick Boyle,TE,BAL,@MIA,-110,38.50,-6.50,22.50,2500,2.3,0.9,0.20
Jordan Scarlett,RB,CAR,LAR,-110,50.00,1.50,24.25,3400,2.3,0.7,0.20
Luke Stocker,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,0.8,0.3,0.20
DeAndre Washington,RB,OAK,DEN,-110,43.00,2.50,20.25,3200,3.6,1.1,0.19
David Fluellen,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.5,0.2,0.19
Justice Hill,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3600,4.5,1.2,0.18
Devontae Booker,RB,DEN,@OAK,-110,43.00,-2.50,22.75,3000,2.7,0.9,0.18
Troymaine Pope,RB,LAC,IND,-110,44.50,-6.50,25.50,3000,2.0,0.7,0.18
Reggie Bonnafon,RB,CAR,LAR,-110,50.00,1.50,24.25,3000,2.0,0.7,0.18
Darius Slayton,WR,NYG,@DAL,-115,45.50,7.50,19.00,3200,2.0,0.6,0.18
Troy Fumagalli,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2500,1.1,0.4,0.18
Ameer Abdullah,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,0.6,0.2,0.18
Dalyn Dawkins,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.4,0.1,0.18
J.D. McKissic,RB,DET,@ARI,-115,46.50,-2.50,24.50,3100,2.5,0.8,0.17
Russell Gage,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,2.4,0.8,0.17
Blake Bell,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,0.9,0.3,0.17
Jordan Chunn,RB,DAL,NYG,-105,45.50,-7.50,26.50,3000,0.4,0.1,0.16
Kalen Ballage,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,8.6,1.9,0.15
Chris Moore,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3200,4.2,1.3,0.15
Bobo Wilson,WR,TB,SF,-110,51.00,-1.00,26.00,3000,1.5,0.5,0.15
T.J. Logan,RB,TB,SF,-110,51.00,-1.00,26.00,3000,1.3,0.4,0.15
Geremy Davis,WR,LAC,IND,-110,44.50,-6.50,25.50,3000,1.8,0.6,0.14
Darius Jennings,WR,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.7,0.2,0.14
Steven Sims,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,0.6,0.2,0.14
Damion Ratley,WR,CLE,TEN,-110,45.50,-5.50,25.50,3000,1.7,0.6,0.13
Kelvin Harmon,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,0.5,0.2,0.13
Qadree Ollison,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,2.0,0.6,0.12
