PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Darrell Henderson,RB,LAR,@CAR,-110,50.00,-1.50,25.75,4800,8.8,1.8,3.60
Geoff Swaim,TE,JAX,KC,100,51.50,3.00,24.25,2900,5.6,1.9,3.47
Zay Jones,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3700,8.0,2.2,3.24
Ito Smith,RB,ATL,@MIN,-110,47.50,4.00,21.75,4000,8.2,2.1,3.21
Quincy Enunwa,WR,NYJ,BUF,-115,40.50,-2.50,21.50,3800,9.5,2.5,3.03
Lamar Jackson,QB,BAL,@MIA,-110,38.50,-6.50,22.50,6000,20.4,3.4,2.90
Terry McLaurin,WR,WAS,@PHI,-110,45.00,10.00,17.50,3300,5.5,1.7,2.88
Jarius Wright,WR,CAR,LAR,-110,50.00,1.50,24.25,3200,6.5,2.0,2.86
Josh Allen,QB,BUF,@NYJ,-105,40.50,2.50,19.00,5600,17.9,3.2,2.82
Sam Darnold,QB,NYJ,BUF,-115,40.50,-2.50,21.50,5100,17.1,3.3,2.77
Josh Reynolds,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3300,6.6,2.0,2.64
Frank Gore,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3800,6.8,1.8,2.49
Chad Beebe,WR,MIN,ATL,-110,47.50,-4.00,25.75,3000,4.9,1.6,2.45
Jonnu Smith,TE,TEN,@CLE,-110,45.50,5.50,20.00,2700,3.7,1.4,2.33
Irv Smith Jr.,TE,MIN,ATL,-110,47.50,-4.00,25.75,2700,3.7,1.4,2.23
Marqise Lee,WR,JAX,KC,100,51.50,3.00,24.25,4400,5.4,1.2,2.22
Ian Thomas,TE,CAR,LAR,-110,50.00,1.50,24.25,2800,4.5,1.6,2.11
Marquise Brown,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3800,8.5,2.2,2.09
Anthony Firkser,TE,TEN,@CLE,-110,45.50,5.50,20.00,2500,3.2,1.3,2.05
T.J. Yeldon,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3300,5.8,1.7,2.01
Demarcus Robinson,WR,KC,@JAX,-120,51.50,-3.00,27.25,3200,6.2,1.9,1.88
Hayden Hurst,TE,BAL,@MIA,-110,38.50,-6.50,22.50,2700,5.8,2.1,1.84
Adrian Peterson,RB,WAS,@PHI,-110,45.00,10.00,17.50,3700,4.1,1.1,1.84
LeSean McCoy,RB,KC,@JAX,-120,51.50,-3.00,27.25,4600,7.4,1.6,1.83
Tyler Higbee,TE,LAR,@CAR,-110,50.00,-1.50,25.75,2600,4.1,1.6,1.83
James O'Shaughnessy,TE,JAX,KC,100,51.50,3.00,24.25,2500,3.1,1.2,1.82
Ty Montgomery,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3200,7.5,2.3,1.64
Ryquell Armstead,RB,JAX,KC,100,51.50,3.00,24.25,3000,3.3,1.1,1.64
Mecole Hardman,WR,KC,@JAX,-120,51.50,-3.00,27.25,4100,6.4,1.6,1.62
Malcolm Brown,RB,LAR,@CAR,-110,50.00,-1.50,25.75,3800,5.5,1.4,1.61
Cole Beasley,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3600,5.8,1.6,1.57
Taywan Taylor,WR,CLE,TEN,-110,45.50,-5.50,25.50,3100,4.9,1.6,1.57
Willie Snead,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4000,7.8,2.0,1.56
Ryan Griffin,TE,NYJ,BUF,-115,40.50,-2.50,21.50,2700,5.3,2.0,1.56
Alexander Mattison,RB,MIN,ATL,-110,47.50,-4.00,25.75,3800,3.6,0.9,1.55
Darren Sproles,RB,PHI,WAS,-110,45.00,-10.00,27.50,3100,3.5,1.1,1.50
Dawson Knox,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2500,3.7,1.5,1.49
Chris Hogan,WR,CAR,LAR,-110,50.00,1.50,24.25,3300,4.9,1.5,1.47
Demetrius Harris,TE,CLE,TEN,-110,45.50,-5.50,25.50,2500,3.1,1.2,1.42
Miles Boykin,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,6.6,2.2,1.38
Dontrell Hilliard,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,4.1,1.4,1.18
Tyler Conklin,TE,MIN,ATL,-110,47.50,-4.00,25.75,2500,1.6,0.6,1.10
Tajae Sharpe,WR,TEN,@CLE,-110,45.50,5.50,20.00,3000,2.9,1.0,1.08
Josh Oliver,TE,JAX,KC,100,51.50,3.00,24.25,2700,1.6,0.6,1.05
Kenyan Drake,RB,MIA,BAL,-110,38.50,6.50,16.00,4700,10.9,2.3,1.01
Mike Gesicki,TE,MIA,BAL,-110,38.50,6.50,16.00,3000,6.3,2.1,1.01
Jeremy Sprinkle,TE,WAS,@PHI,-110,45.00,10.00,17.50,2500,1.4,0.6,1.01
DeVante Parker,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,9.0,2.3,0.95
D'Ernest Johnson,RB,CLE,TEN,-110,45.50,-5.50,25.50,3000,3.6,1.2,0.92
Corey Clement,RB,PHI,WAS,-110,45.00,-10.00,27.50,3200,2.3,0.7,0.84
J.J. Arcega-Whiteside,WR,PHI,WAS,-110,45.00,-10.00,27.50,3400,2.6,0.8,0.83
Deon Yelder,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,2.5,1.0,0.83
MyCole Pruitt,TE,TEN,@CLE,-110,45.50,5.50,20.00,2500,0.9,0.3,0.81
Darwin Thompson,RB,KC,@JAX,-120,51.50,-3.00,27.25,3000,4.2,1.4,0.79
Tyler Kroft,TE,BUF,@NYJ,-105,40.50,2.50,19.00,2600,2.2,0.8,0.79
Logan Paulsen,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,0.5,0.2,0.77
Wendell Smallwood,RB,WAS,@PHI,-110,45.00,10.00,17.50,3200,1.9,0.6,0.74
Mike Boone,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,1.7,0.6,0.72
Ryan Fitzpatrick,QB,MIA,BAL,-110,38.50,6.50,16.00,4900,16.2,3.3,0.64
Robert Davis,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,1.9,0.6,0.62
Gus Edwards,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3100,4.4,1.4,0.60
Albert Wilson,WR,MIA,BAL,-110,38.50,6.50,16.00,3900,7.9,2.0,0.59
Jaeden Graham,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,1.4,0.6,0.58
Jakeem Grant,WR,MIA,BAL,-110,38.50,6.50,16.00,3000,6.7,2.2,0.50
Justice Hill,RB,BAL,@MIA,-110,38.50,-6.50,22.50,3600,4.5,1.2,0.50
Mack Hollins,WR,PHI,WAS,-110,45.00,-10.00,27.50,3000,1.5,0.5,0.48
Jordan Scarlett,RB,CAR,LAR,-110,50.00,1.50,24.25,3400,2.3,0.7,0.47
Seth Roberts,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3000,4.5,1.5,0.46
Kalen Ballage,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,8.6,1.9,0.44
Nick Boyle,TE,BAL,@MIA,-110,38.50,-6.50,22.50,2500,2.3,0.9,0.43
Reggie Bonnafon,RB,CAR,LAR,-110,50.00,1.50,24.25,3000,2.0,0.7,0.42
David Fluellen,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.5,0.2,0.41
Luke Stocker,TE,ATL,@MIN,-110,47.50,4.00,21.75,2500,0.8,0.3,0.40
Ameer Abdullah,RB,MIN,ATL,-110,47.50,-4.00,25.75,3000,0.6,0.2,0.39
Dalyn Dawkins,RB,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.4,0.1,0.39
Russell Gage,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,2.4,0.8,0.36
Chris Moore,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3200,4.2,1.3,0.35
Blake Bell,TE,KC,@JAX,-120,51.50,-3.00,27.25,2500,0.9,0.3,0.34
Darius Jennings,WR,TEN,@CLE,-110,45.50,5.50,20.00,3000,0.7,0.2,0.30
Damion Ratley,WR,CLE,TEN,-110,45.50,-5.50,25.50,3000,1.7,0.6,0.28
Qadree Ollison,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,2.0,0.6,0.27
Steven Sims,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,0.6,0.2,0.27
Kelvin Harmon,WR,WAS,@PHI,-110,45.00,10.00,17.50,3000,0.5,0.2,0.26
Justin Hardy,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.6,0.5,0.21
KhaDarel Hodge,WR,CLE,TEN,-110,45.50,-5.50,25.50,3000,1.3,0.4,0.21
Samaje Perine,RB,CIN,@SEA,-110,44.00,9.50,17.25,3000,0.2,0.1,0.21
Mike Thomas,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3000,1.2,0.4,0.17
Isaiah McKenzie,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3000,1.2,0.4,0.14
Olamide Zaccheaus,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.1,0.4,0.14
Brian Hill,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.0,0.3,0.14
Nsimba Webster,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3000,1.0,0.3,0.14
Trenton Cannon,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3000,2.6,0.9,0.11
Trevon Wesco,TE,NYJ,BUF,-115,40.50,-2.50,21.50,2500,0.6,0.2,0.11
Andre Roberts,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3000,1.3,0.4,0.10
Byron Pringle,WR,KC,@JAX,-120,51.50,-3.00,27.25,3000,1.2,0.4,0.10
Kenjon Barner,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,0.6,0.2,0.10
Josh Bellamy,WR,NYJ,BUF,-115,40.50,-2.50,21.50,3000,2.1,0.7,0.08
Darrel Williams,RB,KC,@JAX,-120,51.50,-3.00,27.25,3400,0.5,0.2,0.07
Case Keenum,QB,WAS,@PHI,-110,45.00,10.00,17.50,4900,9.2,1.9,0.06
Bilal Powell,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3300,1.9,0.6,0.06
Allen Hurns,WR,MIA,BAL,-110,38.50,6.50,16.00,3700,3.9,1.1,0.05
Mark Walton,RB,MIA,BAL,-110,38.50,6.50,16.00,3000,3.5,1.2,0.03
Preston Williams,WR,MIA,BAL,-110,38.50,6.50,16.00,3000,3.0,1.0,0.02
Nick O'Leary,TE,MIA,BAL,-110,38.50,6.50,16.00,2500,1.3,0.5,0.02
Durham Smythe,TE,MIA,BAL,-110,38.50,6.50,16.00,2500,1.3,0.5,0.02
Myles Gaskin,RB,MIA,BAL,-110,38.50,6.50,16.00,3000,1.6,0.5,0.00
Chandler Cox,RB,MIA,BAL,-110,38.50,6.50,16.00,3000,0.2,0.1,0.00
