PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Robby Anderson,WR,NYJ,BUF,-115,40.50,-2.50,21.50,5200,13.3,2.6,2.25
Phillip Dorsett,WR,NE,PIT,-110,49.00,-5.50,27.25,3100,7.8,2.5,2.21
Matt LaCosse,TE,NE,PIT,-110,49.00,-5.50,27.25,2800,7.7,2.8,2.17
Ryan Grant,WR,OAK,DEN,-110,43.00,2.50,20.25,3000,9.2,3.1,2.16
Tyler Eifert,TE,CIN,@SEA,-110,44.00,9.50,17.25,3100,7.7,2.5,2.12
Nick Foles,QB,JAX,KC,100,51.50,3.00,24.25,5300,17.1,3.2,2.10
Marcus Mariota,QB,TEN,@CLE,-110,45.50,5.50,20.00,5200,16.4,3.2,2.08
Devin Singletary,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3600,9.2,2.6,2.07
Ronald Jones,RB,TB,SF,-110,51.00,-1.00,26.00,3900,8.7,2.2,2.07
Richie James,WR,SF,@TB,-110,51.00,1.00,25.00,3000,6.8,2.3,2.06
Demaryius Thomas,WR,NE,PIT,-110,49.00,-5.50,27.25,3700,8.2,2.2,2.05
Kyler Murray,QB,ARI,DET,-105,46.50,2.50,22.00,5600,18.5,3.3,2.03
Larry Fitzgerald,WR,ARI,DET,-105,46.50,2.50,22.00,4900,11.4,2.3,2.03
Darren Waller,TE,OAK,DEN,-110,43.00,2.50,20.25,3000,9.3,3.1,2.03
Taylor Gabriel,WR,CHI,GB,-115,46.50,-3.00,24.75,3900,8.8,2.2,2.03
DK Metcalf,WR,SEA,CIN,-110,44.00,-9.50,26.75,4000,6.7,1.7,2.03
Courtland Sutton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4700,10.8,2.3,2.02
Gerald Everett,TE,LAR,@CAR,-110,50.00,-1.50,25.75,2900,8.1,2.8,2.02
Jamison Crowder,WR,NYJ,BUF,-115,40.50,-2.50,21.50,4100,11.5,2.8,1.97
Vernon Davis,TE,WAS,@PHI,-110,45.00,10.00,17.50,2700,6.4,2.4,1.96
Eric Ebron,TE,IND,@LAC,-110,44.50,6.50,19.00,4100,9.0,2.2,1.94
Jason Witten,TE,DAL,NYG,-105,45.50,-7.50,26.50,3000,6.8,2.3,1.94
Royce Freeman,RB,DEN,@OAK,-110,43.00,-2.50,22.75,4200,10.2,2.4,1.93
Jaylen Samuels,RB,PIT,@NE,-110,49.00,5.50,21.75,3800,7.3,1.9,1.87
Randall Cobb,WR,DAL,NYG,-105,45.50,-7.50,26.50,4200,7.6,1.8,1.86
Blake Jarwin,TE,DAL,NYG,-105,45.50,-7.50,26.50,2700,6.3,2.3,1.86
Jack Doyle,TE,IND,@LAC,-110,44.50,6.50,19.00,3400,8.0,2.4,1.83
Chris Conley,WR,JAX,KC,100,51.50,3.00,24.25,3100,6.6,2.1,1.77
Dare Ogunbowale,RB,TB,SF,-110,51.00,-1.00,26.00,3000,7.0,2.3,1.74
Cameron Brate,TE,TB,SF,-110,51.00,-1.00,26.00,2800,6.6,2.4,1.72
Breshad Perriman,WR,TB,SF,-110,51.00,-1.00,26.00,3300,7.2,2.2,1.71
Geronimo Allison,WR,GB,@CHI,-105,46.50,3.00,21.75,4100,9.6,2.3,1.70
Jimmy Graham,TE,GB,@CHI,-105,46.50,3.00,21.75,3600,8.9,2.5,1.70
Jordan Akins,TE,HOU,@NO,-115,52.50,7.00,22.75,2600,5.2,2.0,1.67
A.J. Brown,WR,TEN,@CLE,-110,45.50,5.50,20.00,3500,6.5,1.9,1.65
Josh Allen,QB,BUF,@NYJ,-105,40.50,2.50,19.00,5600,17.9,3.2,1.64
Damion Willis,WR,CIN,@SEA,-110,44.00,9.50,17.25,3000,6.3,2.1,1.58
Tony Pollard,RB,DAL,NYG,-105,45.50,-7.50,26.50,5000,7.3,1.5,1.57
Robert Foster,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4100,8.8,2.1,1.55
D.J. Chark,WR,JAX,KC,100,51.50,3.00,24.25,3300,6.4,2.0,1.55
Mark Andrews,TE,BAL,@MIA,-110,38.50,-6.50,22.50,3000,8.9,3.0,1.54
Sam Darnold,QB,NYJ,BUF,-115,40.50,-2.50,21.50,5100,17.1,3.3,1.53
Keelan Cole,WR,JAX,KC,100,51.50,3.00,24.25,3400,6.4,1.9,1.50
