Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,1591098401,howyoudoin32,0,185.22,DST Rams  WR DeSean Jackson TE Travis Kelce WR Sammy Watkins FLEX Curtis Samuel QB Patrick Mahomes RB Tony Pollard RB Saquon Barkley WR Calvin Ridley,,Odell Beckham Jr.,WR,10.48%,14.1
26,1590771131,jcoop222,0,184.92,DST Lions  WR Tyler Lockett QB Carson Wentz TE Hunter Henry RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Mike Evans,WR,10.04%,4.8
27,1584285458,jholly161,0,184.86,DST Panthers  WR Odell Beckham Jr. WR Tyler Lockett TE Hunter Henry FLEX Evan Engram WR Curtis Samuel RB Christian McCaffrey QB Lamar Jackson RB Chris Carson,,Kerryon Johnson,RB,9.61%,8.2
28,1590739524,j74c,0,184.12,DST Seahawks  FLEX Robert Woods QB Carson Wentz WR Adam Thielen TE Evan Engram RB Dalvin Cook WR Chris Godwin WR Dede Westbrook RB Chris Carson,,Delanie Walker,TE,9.61%,22.5
29,1588694566,LovelyOnLydia,0,184,DST 49ers  QB Jacoby Brissett TE Hunter Henry WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Saquon Barkley,,Marvin Jones Jr.,WR,9.17%,10
30,1591032363,HuskerNTexas,0,183.96,DST Ravens  RB Mark Ingram II WR Marvin Jones Jr. WR Tyler Lockett WR Adam Thielen FLEX George Kittle TE Evan Engram RB Dalvin Cook QB Lamar Jackson,,Cooper Kupp,WR,8.73%,11.6
31,1591021644,cjstiege15,0,183.82,DST Panthers  QB Carson Wentz WR Adam Thielen TE Hunter Henry RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Austin Ekeler,FLEX,8.30%,39.4
32,1589518680,randolph.loving,0,183.22,DST 49ers  WR Keenan Allen WR Adam Thielen TE Hunter Henry FLEX Austin Ekeler RB Nick Chubb QB Patrick Mahomes WR Dede Westbrook RB Kerryon Johnson,,George Kittle,TE,8.30%,13.4
33,1591674667,starnold7,0,182.96,DST Chargers  FLEX DeSean Jackson QB Cam Newton TE Kyle Rudolph WR Alshon Jeffery WR Sammy Watkins WR Brandin Cooks RB Nick Chubb RB Christian McCaffrey,,Cowboys ,DST,7.86%,6
34,1591399981,reamronaldreagan,0,177.06,DST Ravens  RB Mark Ingram II WR Albert Wilson WR Adam Thielen TE George Kittle RB Dalvin Cook WR Chris Godwin FLEX Marlon Mack QB Lamar Jackson,,Amari Cooper,WR,7.86%,25.6
35,1590724670,pdnra,0,177.02,DST Giants  FLEX Sammy Watkins RB Damien Williams WR Cody Core TE Evan Engram WR Tyreek Hill QB Patrick Mahomes RB Saquon Barkley WR Michael Gallup,,Kenny Golladay,WR,7.42%,14.2
36,1588954507,Quaz2011,0,176.72,DST Seahawks  QB Carson Wentz WR Sterling Shepard TE Mark Andrews WR Curtis Samuel RB Nick Chubb RB Christian McCaffrey WR Dede Westbrook FLEX Saquon Barkley,,Chargers ,DST,6.99%,2
37,1578895095,deznuttz801,0,175.92,DST 49ers  RB Mark Ingram II RB Le'Veon Bell QB Carson Wentz WR Amari Cooper WR Cooper Kupp WR Adam Thielen TE Hunter Henry FLEX Nick Chubb,,Baker Mayfield,QB,6.99%,12.4
37,1591996042,anyvictorywilldo,0,175.92,DST Cowboys  WR Tyler Lockett QB Carson Wentz TE Hunter Henry WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin FLEX Chris Carson,,Zach Ertz,TE,6.99%,10.4
39,1588769498,ajmhv8,0,175.62,DST Cowboys  WR Tyler Lockett TE Evan Engram RB Austin Ekeler WR Tyreek Hill RB Dalvin Cook FLEX Chris Godwin WR Dede Westbrook QB Kyler Murray,,Dak Prescott,QB,6.55%,36.4
40,1590885108,dominicdigi1,0,175.6,DST Cowboys  QB Dak Prescott WR Tyler Lockett WR Amari Cooper WR Tyler Boyd RB Austin Ekeler FLEX Joe Mixon TE David Njoku RB Chris Carson,,Eagles ,DST,6.55%,1
41,1589396019,mdm686s,0,175.44,DST Buccaneers  WR DeSean Jackson QB Russell Wilson WR Brandin Cooks WR Adam Thielen TE Evan Engram FLEX Tyreek Hill RB Marlon Mack RB Chris Carson,,Robert Woods,WR,6.55%,16.6
42,1586606240,Rhamej1,0,173.66,DST Ravens  WR Cole Beasley WR John Brown TE Hunter Henry RB Leonard Fournette FLEX Christian McCaffrey WR Dede Westbrook QB Josh Allen RB Saquon Barkley,,Ezekiel Elliott,RB,6.55%,13.3
43,1591126620,hern03,0,173.16,DST Cowboys  TE Delanie Walker WR Julio Jones WR Amari Cooper RB Duke Johnson WR Adam Thielen RB Dalvin Cook QB Lamar Jackson FLEX Chris Carson,,Jameis Winston,QB,6.55%,10.06
44,1588099967,lawson5,0,172.12,DST Ravens  QB Carson Wentz TE Hunter Henry WR Curtis Samuel RB Nick Chubb RB Dalvin Cook FLEX Christian McCaffrey WR Chris Godwin WR Dede Westbrook,,Larry Fitzgerald,WR,6.11%,28.3
45,1591611832,zivox,0,171.7,DST Titans  WR Keenan Allen WR Amari Cooper WR Sterling Shepard RB Ezekiel Elliott QB Baker Mayfield TE Evan Engram RB Chase Edmonds FLEX Michael Gallup,,Todd Gurley II,RB,6.11%,11.1
46,1592497218,stbaxter1287,0,171.06,DST Seahawks  TE Greg Olsen FLEX Mark Ingram II WR John Brown WR Kenny Golladay RB Nick Chubb WR Chris Godwin QB Lamar Jackson RB Saquon Barkley,,Browns ,DST,6.11%,0
47,1589723281,7ploch7,0,170.62,DST Seahawks  QB Philip Rivers FLEX Marvin Jones Jr. WR Kenny Golladay TE George Kittle WR Tyler Boyd RB Austin Ekeler WR Chris Godwin RB Chris Carson,,Sterling Shepard,WR,6.11%,10.2
48,1589817005,luebj1,0,170.12,DST Seahawks  TE Delanie Walker FLEX Keenan Allen QB Carson Wentz WR Kenny Golladay WR Adam Thielen RB Dalvin Cook WR DJ Moore RB Kerryon Johnson,,DeSean Jackson,WR,5.68%,38.4
49,1587685498,BigHolyO,0,169.7,DST Ravens  WR Larry Fitzgerald RB Le'Veon Bell WR Jarvis Landry QB Dak Prescott WR Stefon Diggs TE Hunter Henry FLEX Leonard Fournette RB Dalvin Cook,,Kirk Cousins,QB,5.68%,14.32
