"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38185-6808","QB","Matt","Matt Moore","Moore","0","0","6000","KC@JAC","KC","JAC","","","","",""
"38185-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","WAS@PHI","PHI","WAS","O","Wrist","","",""
"38185-71845","RB","Miles","Miles Sanders","Sanders","0","0","6000","WAS@PHI","PHI","WAS","","","","",""
"38185-62133","QB","Chase","Chase Litton","Litton","0","0","6000","KC@JAC","JAC","KC","","","","",""
"38185-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","TEN@CLE","TEN","CLE","","","","",""
"38185-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","WAS@PHI","WAS","PHI","O","Lower leg","","",""
"38185-29445","QB","Sean","Sean Mannion","Mannion","0.006666666517655055","3","6000","ATL@MIN","MIN","ATL","","","","",""
"38185-30989","RB","Kenyan","Kenyan Drake","Drake","11.231249809265137","16","6000","BAL@MIA","MIA","BAL","","","","",""
"38185-28434","QB","Trevor","Trevor Siemian","Siemian","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"38185-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","BAL@MIA","MIA","BAL","","","","",""
"38185-61798","QB","Gardner","Gardner Minshew II","Minshew II","0","0","6000","KC@JAC","JAC","KC","","","","",""
"38185-53095","QB","Kyle","Kyle Allen","Allen","13.270000457763672","2","6000","LAR@CAR","CAR","LAR","","","","",""
"38185-39795","QB","Davis","Davis Webb","Webb","0","0","6000","BUF@NYJ","BUF","NYJ","","","","",""
"38185-56192","QB","John","John Wolford","Wolford","0","0","6000","LAR@CAR","LAR","CAR","","","","",""
"38185-32158","QB","Garrett","Garrett Gilbert","Gilbert","1.600000023841858","1","6000","TEN@CLE","CLE","TEN","","","","",""
"38185-29605","QB","Matt","Matt Barkley","Barkley","17.079999923706055","1","6000","BUF@NYJ","BUF","NYJ","","","","",""
"38185-60840","QB","Jake","Jake Browning","Browning","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"38185-21941","QB","Robert","Robert Griffin III","Griffin III","0.41999998688697815","2","6000","BAL@MIA","BAL","MIA","","","","",""
"38185-38837","QB","Danny","Danny Etling","Etling","0","0","6000","ATL@MIN","ATL","MIN","","","","",""
"38185-21948","QB","Ryan","Ryan Tannehill","Tannehill","13.76909151944247","11","6000","TEN@CLE","TEN","CLE","","","","",""
"38185-56286","QB","Trace","Trace McSorley","McSorley","0","0","6000","BAL@MIA","BAL","MIA","","","","",""
"38185-41966","QB","Luke","Luke Falk","Falk","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"38185-60735","RB","Derrius","Derrius Guice","Guice","0","0","5900","WAS@PHI","WAS","PHI","","","","",""
"38185-52613","WR","Curtis","Curtis Samuel","Samuel","9.023077157827524","13","5900","LAR@CAR","CAR","LAR","","","","",""
"38185-60910","WR","Dede","Dede Westbrook","Westbrook","9.15625","16","5900","KC@JAC","JAC","KC","","","","",""
"38185-55335","TE","David","David Njoku","Njoku","7.726666768391927","15","5800","TEN@CLE","CLE","TEN","","","","",""
"38185-6779","RB","LeSean","LeSean McCoy","McCoy","7.871428353445871","14","5800","KC@JAC","KC","JAC","","","","",""
"38185-42142","RB","Jordan","Jordan Howard","Howard","10.625","16","5800","WAS@PHI","PHI","WAS","","","","",""
"38185-42107","WR","Robert","Robert Foster","Foster","7.781818043101918","11","5700","BUF@NYJ","BUF","NYJ","","","","",""
"38185-52371","RB","Kalen","Kalen Ballage","Ballage","3.01818188753995","11","5700","BAL@MIA","MIA","BAL","","","","",""
"38185-14339","RB","Dion","Dion Lewis","Lewis","8.199999809265137","16","5600","TEN@CLE","TEN","CLE","","","","",""
"38185-6703","RB","Adrian","Adrian Peterson","Peterson","11.1875","16","5600","WAS@PHI","WAS","PHI","","","","",""
"38185-6739","WR","DeSean","DeSean Jackson","Jackson","10.90000025431315","12","5600","WAS@PHI","PHI","WAS","","","","",""
"38185-40126","TE","Austin","Austin Hooper","Hooper","7.96875","16","5500","ATL@MIN","ATL","MIN","","","","",""
"38185-54606","WR","John","John Brown","Brown","7.681250095367432","16","5500","BUF@NYJ","BUF","NYJ","","","","",""
"38185-70157","RB","Darrell","Darrell Henderson Jr.","Henderson Jr.","0","0","5400","LAR@CAR","LAR","CAR","","","","",""
"38185-24755","WR","Jamison","Jamison Crowder","Crowder","7.58888922797309","9","5400","BUF@NYJ","NYJ","BUF","","","","",""
"38185-6863","TE","Delanie","Delanie Walker","Walker","7.199999809265137","1","5400","TEN@CLE","TEN","CLE","","","","",""
"38185-52436","TE","Mark","Mark Andrews","Andrews","5.637499809265137","16","5400","BAL@MIA","BAL","MIA","","","","",""
"38185-55689","RB","Ito","Ito Smith","Smith","6.476922842172476","13","5400","ATL@MIN","ATL","MIN","","","","",""
"38185-22018","WR","Mohamed","Mohamed Sanu","Sanu","9.337499618530273","16","5300","ATL@MIN","ATL","MIN","","","","",""
"38185-30298","TE","Jordan","Jordan Reed","Reed","7.138461773212139","13","5300","WAS@PHI","WAS","PHI","Q","Concussion","","",""
"38185-70603","RB","Devin","Devin Singletary","Singletary","0","0","5300","BUF@NYJ","BUF","NYJ","","","","",""
"38185-33260","WR","DeVante","DeVante Parker","Parker","4.44545468417081","11","5300","BAL@MIA","MIA","BAL","","","","",""
"38185-24671","WR","Adam","Adam Humphries","Humphries","9.418749809265137","16","5200","TEN@CLE","TEN","CLE","","","","",""
"38185-27266","WR","Quincy","Quincy Enunwa","Enunwa","6.172727411443537","11","5200","BUF@NYJ","NYJ","BUF","","","","",""
"38185-6914","TE","Greg","Greg Olsen","Olsen","7.399999830457899","9","5200","LAR@CAR","CAR","LAR","","","","",""
"38185-72846","WR","A.J.","A.J. Brown","Brown","0","0","5100","TEN@CLE","TEN","CLE","","","","",""
"38185-71352","WR","Mecole","Mecole Hardman","Hardman","0","0","5100","KC@JAC","KC","JAC","","","","",""
"38185-33047","WR","Chris","Chris Moore","Moore","2.453333282470703","15","5100","BAL@MIA","BAL","MIA","","","","",""
"38185-24891","RB","Chris","Chris Thompson","Thompson","7.1099998474121096","10","5100","WAS@PHI","WAS","PHI","","","","",""
"38185-63360","WR","Antonio","Antonio Callaway","Callaway","6.925000190734863","16","5100","TEN@CLE","CLE","TEN","O","Suspension","","",""
"38185-14237","TE","Kyle","Kyle Rudolph","Rudolph","7.462500095367432","16","5100","ATL@MIN","MIN","ATL","","","","",""
"38185-83074","TE","Dallas","Dallas Goedert","Goedert","5.278571537562779","14","5000","WAS@PHI","PHI","WAS","","","","",""
"38185-86687","WR","Marquise","Marquise Brown","Brown","0","0","5000","BAL@MIA","BAL","MIA","","","","",""
"38185-48344","WR","Albert","Albert Wilson","Wilson","11.968571254185267","7","5000","BAL@MIA","MIA","BAL","Q","Hip","","",""
"38185-12555","D","Baltimore","Baltimore Ravens","Ravens","8.25","16","5000","BAL@MIA","BAL","MIA","","","","",""
"38185-41305","WR","Zay","Zay Jones","Jones","8.574999809265137","16","5000","BUF@NYJ","BUF","NYJ","","","","",""
"38185-71521","RB","Justice","Justice Hill","Hill","0","0","5000","BAL@MIA","BAL","MIA","","","","",""
"38185-29593","WR","Marqise","Marqise Lee","Lee","0","0","5000","KC@JAC","JAC","KC","","","","",""
"38185-29683","WR","Nelson","Nelson Agholor","Agholor","8.337499618530273","16","5000","WAS@PHI","PHI","WAS","","","","",""
