"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-27050","WR","Tyler","Tyler Lockett","Lockett","12.118749618530273","16","6800","CIN@SEA","SEA","CIN","","","","",""
"37435-63589","QB","Sam","Sam Darnold","Darnold","14.107691838191105","13","6700","BUF@NYJ","NYJ","BUF","","","","",""
"37435-24920","RB","Devonta","Devonta Freeman","Freeman","5.800000190734863","2","6700","ATL@MIN","ATL","MIN","","","","",""
"37435-21980","WR","Alshon","Alshon Jeffery","Jeffery","11.753846388596754","13","6700","WAS@PHI","PHI","WAS","Q","Biceps","","",""
"37435-6654","QB","Matthew","Matthew Stafford","Stafford","13.948749542236328","16","6600","DET@ARI","DET","ARI","","","","",""
"37435-64119","RB","Chris","Chris Carson","Carson","13.67142813546317","14","6600","CIN@SEA","SEA","CIN","","","","",""
"37435-14211","RB","Mark","Mark Ingram II","Ingram II","11","12","6600","BAL@MIA","BAL","MIA","","","","",""
"37435-64555","WR","Calvin","Calvin Ridley","Ridley","10.925000190734863","16","6500","ATL@MIN","ATL","MIN","","","","",""
"37435-39286","TE","O.J.","O.J. Howard","Howard","10.35","10","6500","SF@TB","TB","SF","","","","",""
"37435-56698","WR","Dante","Dante Pettis","Pettis","7.5","12","6500","SF@TB","SF","TB","","","","",""
"37435-22027","QB","Nick","Nick Foles","Foles","15.944000244140625","5","6500","KC@JAC","JAC","KC","","","","",""
"37435-29358","QB","Marcus","Marcus Mariota","Mariota","13.101428440638951","14","6500","TEN@CLE","TEN","CLE","","","","",""
"37435-14225","QB","Andy","Andy Dalton","Dalton","16.867272116921164","11","6500","CIN@SEA","CIN","SEA","","","","",""
"37435-80001","RB","Austin","Austin Ekeler","Ekeler","10.664285932268415","14","6400","IND@LAC","LAC","IND","","","","",""
"37435-6826","QB","Eli","Eli Manning","Manning","15.6850004196167","16","6400","NYG@DAL","NYG","DAL","","","","",""
"37435-41872","TE","Evan","Evan Engram","Engram","9.436363913796164","11","6400","NYG@DAL","NYG","DAL","","","","",""
"37435-39829","WR","Mike","Mike Williams","Williams","9.918749809265137","16","6400","IND@LAC","LAC","IND","","","","",""
"37435-24641","WR","Sammy","Sammy Watkins","Watkins","9.509999847412109","10","6300","KC@JAC","KC","JAC","","","","",""
"37435-27776","RB","Tevin","Tevin Coleman","Coleman","11.100000381469727","16","6300","SF@TB","SF","TB","","","","",""
"37435-26251","WR","Robby","Robby Anderson","Anderson","9.385713849748884","14","6300","BUF@NYJ","NYJ","BUF","Q","Calf","","",""
"37435-31394","WR","Jarvis","Jarvis Landry","Landry","11.038749694824219","16","6300","TEN@CLE","CLE","TEN","","","","",""
"37435-45439","WR","Corey","Corey Davis","Davis","9.443750381469727","16","6200","TEN@CLE","TEN","CLE","","","","",""
"37435-22994","QB","Case","Case Keenum","Keenum","14.368749618530273","16","6200","WAS@PHI","WAS","PHI","","","","",""
"37435-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","0","0","6200","WAS@PHI","WAS","PHI","","","","",""
"37435-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","22.229999542236328","8","6200","BAL@MIA","MIA","BAL","","","","",""
"37435-63043","WR","DJ","DJ Moore","Moore","8.09375","16","6200","LAR@CAR","CAR","LAR","","","","",""
"37435-62364","QB","Josh","Josh Rosen","Rosen","9.065714154924665","14","6200","BAL@MIA","MIA","BAL","","","","",""
"37435-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","10.922222561306423","9","6100","DET@ARI","DET","ARI","","","","",""
"37435-40845","TE","Hunter","Hunter Henry","Henry","0","0","6100","IND@LAC","LAC","IND","","","","",""
"37435-24607","QB","Chad","Chad Kelly","Kelly","-0.10000000149011612","1","6000","IND@LAC","IND","LAC","O","Suspension","","",""
"37435-63519","QB","Daniel","Daniel Jones","Jones","0","0","6000","NYG@DAL","NYG","DAL","","","","",""
"37435-14377","QB","Tyrod","Tyrod Taylor","Taylor","10.854999542236328","4","6000","IND@LAC","LAC","IND","","","","",""
"37435-53331","QB","Taylor","Taylor Heinicke","Heinicke","3.3799999237060545","5","6000","LAR@CAR","CAR","LAR","","","","",""
"37435-57433","QB","Vincent","Vincent Testaverde","Testaverde","0","0","6000","SF@TB","TB","SF","","","","",""
"37435-52342","QB","Will","Will Grier","Grier","0","0","6000","LAR@CAR","CAR","LAR","","","","",""
"37435-39034","QB","Kurt","Kurt Benkert","Benkert","0","0","6000","ATL@MIN","ATL","MIN","IR","Toe","","",""
"37435-63611","QB","Kyle","Kyle Shurmur","Shurmur","0","0","6000","KC@JAC","KC","JAC","","","","",""
"37435-83079","QB","Kyle","Kyle Lauletta","Lauletta","-1.2000000476837158","1","6000","WAS@PHI","PHI","WAS","","","","",""
"37435-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","WAS@PHI","PHI","WAS","O","Wrist","","",""
"37435-71845","RB","Miles","Miles Sanders","Sanders","0","0","6000","WAS@PHI","PHI","WAS","","","","",""
"37435-53416","QB","Wilton","Wilton Speight","Speight","0","0","6000","SF@TB","SF","TB","","","","",""
"37435-83130","QB","Chad","Chad Kanoff","Kanoff","0","0","6000","DET@ARI","DET","ARI","","","","",""
"37435-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","TEN@CLE","TEN","CLE","","","","",""
"37435-29915","QB","Brett","Brett Hundley","Hundley","0","0","6000","DET@ARI","ARI","DET","","","","",""
"37435-11485","WR","Golden","Golden Tate","Tate","9.726666259765626","15","6000","NYG@DAL","NYG","DAL","O","Suspension","","",""
"37435-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","WAS@PHI","WAS","PHI","O","Lower leg","","",""
"37435-72957","QB","Drew","Drew Anderson","Anderson","0","0","6000","DET@ARI","ARI","DET","","","","",""
"37435-39179","QB","Tanner","Tanner Lee","Lee","0","0","6000","KC@JAC","JAC","KC","","","","",""
"37435-30989","RB","Kenyan","Kenyan Drake","Drake","11.231249809265137","16","6000","BAL@MIA","MIA","BAL","","","","",""
"37435-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","BAL@MIA","MIA","BAL","","","","",""
"37435-27986","QB","C.J.","C.J. Beathard","Beathard","16.39600067138672","5","6000","SF@TB","SF","TB","","","","",""
"37435-53604","QB","Nick","Nick Fitzgerald","Fitzgerald","0","0","6000","SF@TB","TB","SF","","","","",""
"37435-61798","QB","Gardner","Gardner Minshew II","Minshew II","0","0","6000","KC@JAC","JAC","KC","","","","",""
"37435-63851","QB","Tyree","Tyree Jackson","Jackson","0","0","6000","BUF@NYJ","BUF","NYJ","","","","",""
"37435-25969","QB","Tom","Tom Savage","Savage","0","0","6000","DET@ARI","DET","ARI","","","","",""
"37435-52606","QB","David","David Blough","Blough","0","0","6000","DET@ARI","DET","ARI","","","","",""
"37435-103824","QB","Easton","Easton Stick","Stick","0","0","6000","IND@LAC","LAC","IND","","","","",""
"37435-32158","QB","Garrett","Garrett Gilbert","Gilbert","1.600000023841858","1","6000","TEN@CLE","CLE","TEN","","","","",""
"37435-60840","QB","Jake","Jake Browning","Browning","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"37435-21941","QB","Robert","Robert Griffin III","Griffin III","0.41999998688697815","2","6000","BAL@MIA","BAL","MIA","","","","",""
"37435-60858","WR","Christian","Christian Kirk","Kirk","8.5","12","6000","DET@ARI","ARI","DET","","","","",""
