"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38271-40118","WR","Steven","Steven Mitchell Jr.","Mitchell Jr.","0","0","4500","HOU@NO","HOU","NO","","","","",""
"38271-32185","RB","Zach","Zach Line","Line","1.8181818181818181","11","4500","HOU@NO","NO","HOU","","","","",""
"38271-103992","WR","Emmanuel","Emmanuel Butler","Butler","0","0","4500","HOU@NO","NO","HOU","","","","",""
"38271-41155","RB","Taquan","Taquan Mizzell Sr.","Mizzell Sr.","2.424999952316284","8","4500","HOU@NO","NO","HOU","","","","",""
"38271-56142","WR","Juwann","Juwann Winfree","Winfree","0","0","4500","DEN@OAK","DEN","OAK","","","","",""
"38271-41042","WR","Marcell","Marcell Ateman","Ateman","4.816666603088379","6","4500","DEN@OAK","OAK","DEN","","","","",""
"38271-70868","RB","Damarea","Damarea Crockett","Crockett","0","0","4500","DEN@OAK","OAK","DEN","","","","",""
"38271-64215","RB","Karan","Karan Higdon Jr.","Higdon Jr.","0","0","4500","HOU@NO","HOU","NO","","","","",""
"38271-55514","RB","Buddy","Buddy Howell","Howell","0","1","4500","HOU@NO","HOU","NO","","","","",""
"38271-32613","RB","DeAndre","DeAndre Washington","Washington","1.3624999523162842","8","4500","DEN@OAK","OAK","DEN","","","","",""
"38271-63717","RB","Alec","Alec Ingold","Ingold","0","0","4500","DEN@OAK","OAK","DEN","","","","",""
"38271-34154","WR","J.J.","J.J. Nelson","Nelson","1.0999999576144748","9","4500","DEN@OAK","OAK","DEN","Q","Ankle","","",""
"38271-14319","RB","Taiwan","Taiwan Jones","Jones","0","4","4500","HOU@NO","HOU","NO","","","","",""
"38271-104176","WR","Deonte","Deonte Harris","Harris","0","0","4500","HOU@NO","NO","HOU","","","","",""
"38271-31602","WR","Fred","Fred Brown","Brown","0","0","4500","DEN@OAK","DEN","OAK","","","","",""
"38271-71031","WR","Lil'Jordan","Lil'Jordan Humphrey","Humphrey","0","0","4500","HOU@NO","NO","HOU","","","","",""
"38271-12542","D","New Orleans","New Orleans Saints","Saints","7","16","4300","HOU@NO","NO","HOU","","","","",""
"38271-28487","TE","Jeff","Jeff Heuerman","Heuerman","5.55999984741211","10","4200","DEN@OAK","DEN","OAK","","","","",""
"38271-57338","TE","Jordan","Jordan Akins","Akins","2.3846153846153846","13","4100","HOU@NO","HOU","NO","","","","",""
"38271-22920","TE","Derek","Derek Carrier","Carrier","2.7000001271565757","6","4000","DEN@OAK","OAK","DEN","","","","",""
"38271-12556","D","Houston","Houston Texans","Texans","9.25","16","4000","HOU@NO","HOU","NO","","","","",""
"38271-12055","TE","Logan","Logan Paulsen","Paulsen","2.8000000544956754","7","4000","HOU@NO","HOU","NO","NA","Coach's decision","","",""
"38271-54426","TE","Andrew","Andrew Beck","Beck","0","0","4000","DEN@OAK","DEN","OAK","","","","",""
"38271-38301","TE","Darren","Darren Fells","Fells","4.400000095367432","8","4000","HOU@NO","HOU","NO","","","","",""
"38271-80546","TE","Dan","Dan Arnold","Arnold","3.857142857142857","7","4000","HOU@NO","NO","HOU","","","","",""
"38271-60712","TE","Foster","Foster Moreau","Moreau","0","0","4000","DEN@OAK","OAK","DEN","","","","",""
"38271-40746","TE","Troy","Troy Fumagalli","Fumagalli","0","0","4000","DEN@OAK","DEN","OAK","","","","",""
"38271-30654","TE","Jerell","Jerell Adams","Adams","0","0","4000","HOU@NO","HOU","NO","","","","",""
"38271-64833","TE","Alize","Alize Mack","Mack","0","0","4000","HOU@NO","NO","HOU","","","","",""
"38271-39492","TE","Josh","Josh Hill","Hill","2.9545454545454546","11","4000","HOU@NO","NO","HOU","","","","",""
"38271-38753","TE","Jake","Jake Butt","Butt","4.166666666666667","3","4000","DEN@OAK","DEN","OAK","IR","Knee","","",""
"38271-79980","TE","Eric","Eric Saubert","Saubert","1.4600000381469727","5","4000","DEN@OAK","OAK","DEN","","","","",""
"38271-12537","D","Oakland","Oakland Raiders","Raiders","3","16","3800","DEN@OAK","OAK","DEN","","","","",""
