"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","8.4","90.5","0.6","0.0","0.0","0.0","0.1","16.8"
"DeAndre Hopkins","HOU","7.0","88.8","0.8","0.0","0.0","0.0","0.1","16.8"
"Sammy Watkins","KC","5.7","91.1","0.8","0.3","1.9","0.0","0.1","16.7"
"Davante Adams","GB","7.1","85.4","0.8","0.0","0.0","0.0","0.1","16.4"
"Julio Jones","ATL","6.9","95.9","0.6","0.1","0.6","0.0","0.1","16.2"
"Keenan Allen","LAC","6.9","93.3","0.6","0.3","2.2","0.0","0.1","16.2"
"Odell Beckham Jr.","CLE","6.5","87.3","0.7","0.3","1.5","0.0","0.1","16.1"
"JuJu Smith-Schuster","PIT","6.5","86.9","0.6","0.0","0.5","0.0","0.1","15.3"
"Julian Edelman","NE","6.2","76.7","0.6","0.7","5.9","0.0","0.1","14.5"
"Amari Cooper","DAL","5.8","77.6","0.6","0.2","0.9","0.0","0.1","14.3"
"Adam Thielen","MIN","6.0","77.3","0.5","0.3","2.0","0.0","0.1","13.9"
"T.Y. Hilton","IND","5.5","83.8","0.5","0.0","0.0","0.0","0.1","13.8"
"Mike Evans","TB","5.3","80.5","0.5","0.0","0.0","0.0","0.1","13.7"
"D.J. Moore","CAR","6.0","73.9","0.4","0.9","9.8","0.0","0.2","13.6"
"Tyler Boyd","CIN","5.7","72.4","0.6","0.3","1.9","0.0","0.1","13.6"
"Cooper Kupp","LAR","5.6","70.0","0.6","0.3","1.7","0.0","0.1","13.5"
"Brandin Cooks","LAR","5.1","76.2","0.5","0.5","2.6","0.0","0.1","13.1"
"Robert Woods","LAR","5.8","77.3","0.3","0.8","5.9","0.0","0.1","12.9"
"Tyrell Williams","OAK","5.0","70.1","0.5","0.1","0.5","0.0","0.1","12.7"
"Tyler Lockett","SEA","4.7","67.8","0.5","0.5","3.5","0.0","0.1","12.6"
"Alshon Jeffery","PHI","5.4","64.2","0.5","0.1","0.5","0.1","0.1","12.6"
"Stefon Diggs","MIN","5.4","62.4","0.5","0.4","2.2","0.0","0.1","12.2"
"Allen Robinson","CHI","4.9","68.4","0.5","0.1","0.4","0.0","0.1","12.1"
"Kenny Golladay","DET","4.6","68.3","0.5","0.1","0.6","0.0","0.0","12.0"
"John Brown","BUF","4.1","65.5","0.5","0.2","0.8","0.0","0.0","11.8"
"Josh Gordon","NE","4.1","67.0","0.5","0.0","0.0","0.0","0.0","11.8"
"Chris Godwin","TB","5.1","68.5","0.4","0.0","0.0","0.0","0.1","11.4"
"Jamison Crowder","NYJ","6.2","66.5","0.3","0.4","2.4","0.0","0.1","11.3"
"Robby Anderson","NYJ","3.9","58.9","0.5","0.2","0.8","0.0","0.1","11.1"
