"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","17.4","83.0","0.7","6.8","56.4","0.3","0.2","23.2"
"Saquon Barkley","NYG","18.0","84.9","0.6","5.3","39.4","0.2","0.2","19.5"
"Alvin Kamara","NO","13.7","65.3","0.6","6.1","51.9","0.2","0.2","19.4"
"Ezekiel Elliott","DAL","18.9","88.3","0.7","3.6","28.2","0.2","0.2","18.1"
"Le'Veon Bell","NYJ","18.3","78.6","0.6","4.1","33.8","0.2","0.2","18.0"
"Austin Ekeler","LAC","12.2","53.8","0.6","5.0","47.3","0.3","0.1","17.6"
"Nick Chubb","CLE","19.8","93.2","0.7","2.3","18.6","0.1","0.2","17.2"
"Dalvin Cook","MIN","16.8","75.7","0.6","3.9","30.6","0.1","0.2","16.4"
"James Conner","PIT","16.2","68.4","0.7","3.6","30.2","0.1","0.2","16.2"
"Chris Carson","SEA","17.0","74.5","0.6","3.6","26.8","0.1","0.2","15.7"
"Leonard Fournette","JAC","17.2","65.7","0.5","4.3","33.5","0.1","0.2","15.6"
"Derrick Henry","TEN","19.0","83.6","0.8","1.2","13.6","0.1","0.2","15.1"
"Todd Gurley","LAR","14.8","67.4","0.7","2.3","21.3","0.1","0.1","14.7"
"Josh Jacobs","OAK","16.1","70.3","0.7","2.6","22.1","0.1","0.2","14.7"
"David Johnson","ARI","15.1","54.8","0.5","4.2","33.5","0.1","0.2","14.5"
"Damien Williams","KC","11.2","48.1","0.6","3.6","32.5","0.2","0.1","14.5"
"Mark Ingram","BAL","15.8","74.4","0.7","1.5","11.8","0.1","0.2","13.9"
"Marlon Mack","IND","18.4","82.5","0.6","1.6","10.5","0.0","0.2","13.7"
"Sony Michel","NE","19.4","81.7","0.7","0.8","6.6","0.0","0.2","13.3"
"Duke Johnson","HOU","10.3","40.9","0.2","4.1","34.8","0.4","0.1","13.2"
"Matt Breida","SF","14.5","62.9","0.5","2.3","20.2","0.1","0.2","12.9"
"Phillip Lindsay","DEN","12.3","55.2","0.5","2.8","20.4","0.1","0.1","12.1"
"Devonta Freeman","ATL","12.9","52.4","0.5","2.7","19.9","0.1","0.2","11.9"
"Kerryon Johnson","DET","14.1","65.8","0.3","2.8","19.0","0.1","0.2","11.7"
"Adrian Peterson","WAS","15.5","59.3","0.6","1.6","11.1","0.1","0.2","11.4"
"James White","NE","5.4","23.7","0.2","4.9","42.3","0.3","0.1","11.4"
"Aaron Jones","GB","13.1","62.6","0.3","2.0","16.3","0.1","0.1","11.2"
"Tarik Cohen","CHI","3.4","15.0","0.1","5.0","44.7","0.2","0.2","9.8"
"Giovani Bernard","CIN","9.5","37.6","0.3","3.2","26.5","0.1","0.2","9.8"
"Miles Sanders","PHI","10.2","43.9","0.4","2.2","16.2","0.1","0.2","9.7"
"Devin Singletary","BUF","9.5","43.9","0.2","2.6","24.2","0.1","0.2","9.4"
"Chris Thompson","WAS","5.0","19.8","0.1","5.0","37.2","0.1","0.1","9.3"
"LeSean McCoy","KC","10.6","45.3","0.2","2.0","18.3","0.1","0.1","9.0"
"Kenyan Drake","MIA","7.7","34.3","0.1","2.9","26.3","0.1","0.1","8.8"
"Rex Burkhead","NE","7.1","30.1","0.2","2.7","23.9","0.2","0.1","8.8"
"David Montgomery","CHI","12.2","50.3","0.2","1.3","12.0","0.0","0.2","8.3"
"Joe Mixon","CIN","9.7","41.0","0.2","1.9","14.0","0.0","0.1","7.9"
"Justin Jackson","LAC","10.2","42.7","0.2","1.7","14.2","0.1","0.1","7.9"
"Carlos Hyde","HOU","11.3","43.1","0.5","0.7","3.6","0.0","0.1","7.7"
"Latavius Murray","NO","9.7","40.7","0.3","1.1","8.7","0.0","0.1","7.0"
"Mike Davis","CHI","7.9","31.7","0.2","2.2","15.7","0.0","0.1","6.9"
"Darren Sproles","PHI","6.1","27.2","0.1","2.2","18.5","0.1","0.1","6.8"
"Dion Lewis","TEN","5.5","22.4","0.1","3.1","20.8","0.1","0.1","6.7"
"Frank Gore","BUF","11.9","50.5","0.1","0.7","5.5","0.0","0.1","6.6"
"Jalen Richard","OAK","3.6","17.7","0.1","3.3","27.2","0.1","0.2","6.6"
"Royce Freeman","DEN","10.9","43.1","0.2","1.0","6.5","0.0","0.1","6.5"
"Ronald Jones II","TB","10.1","42.2","0.2","1.1","7.7","0.0","0.1","6.4"
"Peyton Barber","TB","10.3","41.3","0.2","1.2","8.2","0.0","0.1","6.4"
"Jamaal Williams","GB","7.1","28.0","0.1","1.9","15.2","0.0","0.1","6.1"
"Jordan Howard","PHI","8.1","34.5","0.2","1.2","8.0","0.0","0.1","6.0"
"Raheem Mostert","SF","9.1","41.4","0.2","0.9","6.9","0.0","0.2","5.9"
"Ito Smith","ATL","8.1","30.4","0.2","1.6","10.9","0.0","0.1","5.8"
"Nyheim Hines","IND","4.6","17.9","0.1","2.8","18.4","0.1","0.1","5.7"
"Jaylen Samuels","PIT","4.7","20.1","0.1","1.9","14.1","0.1","0.1","5.6"
"C.J. Anderson","DET","9.1","39.5","0.2","0.6","4.0","0.0","0.1","5.6"
"Gus Edwards","BAL","10.0","44.7","0.2","0.3","1.4","0.0","0.1","5.6"
"Kalen Ballage","MIA","7.5","32.2","0.1","1.6","11.5","0.0","0.1","5.5"
"Rashaad Penny","SEA","8.3","36.5","0.1","0.9","6.6","0.0","0.1","5.3"
"Malcolm Brown","LAR","10.0","40.3","0.2","0.4","2.7","0.0","0.1","5.3"
"Justice Hill","BAL","6.3","28.1","0.2","0.8","5.5","0.0","0.1","4.8"
"Wayne Gallman","NYG","5.5","21.5","0.1","1.7","11.7","0.0","0.1","4.7"
"Dare Ogunbowale","TB","1.4","5.7","0.0","2.8","19.5","0.1","0.0","4.4"
"Alexander Mattison","MIN","6.0","24.1","0.1","1.2","8.2","0.0","0.1","4.4"
"Tony Pollard","DAL","5.9","26.1","0.1","0.7","5.3","0.0","0.1","4.2"
"Dontrell Hilliard","CLE","3.1","12.9","0.1","1.3","13.7","0.0","0.1","3.9"
"Ty Montgomery","NYJ","4.2","16.2","0.1","1.0","8.9","0.0","0.1","3.6"
"D'Ernest Johnson","CLE","1.5","7.0","0.0","1.3","12.5","0.0","0.1","3.0"
"Darrell Henderson","LAR","2.5","11.1","0.1","0.9","7.4","0.0","0.1","2.7"
"Devontae Booker","DEN","1.9","7.0","0.0","1.2","8.5","0.0","0.1","2.4"
"Ryquell Armstead","JAC","3.5","13.9","0.1","0.4","4.0","0.0","0.1","2.3"
"J.D. McKissic","DET","0.8","3.2","0.0","1.2","8.9","0.1","0.0","2.2"
"Darwin Thompson","KC","2.0","9.1","0.1","0.6","6.1","0.0","0.1","2.2"
"Kyle Juszczyk","SF","0.3","1.5","0.0","1.2","11.4","0.1","0.1","2.1"
"Patrick DiMarco","BUF","0.2","0.9","0.0","1.1","9.6","0.1","0.0","2.0"
"Jeff Wilson","SF","2.2","9.9","0.1","0.4","3.2","0.0","0.0","2.0"
"Reggie Bonnafon","CAR","1.8","8.5","0.1","0.5","4.8","0.0","0.1","2.0"
"Qadree Ollison","ATL","1.6","7.0","0.1","0.3","2.7","0.0","0.0","1.7"
"Kerrith Whyte","CHI","1.9","7.6","0.1","0.2","2.1","0.0","0.0","1.7"
"Wendell Smallwood","WAS","1.6","6.5","0.1","0.4","3.4","0.0","0.0","1.7"
"DeAndre Washington","OAK","2.1","7.9","0.1","0.5","2.5","0.0","0.0","1.7"
"Samaje Perine","CIN","2.6","10.3","0.1","0.2","1.6","0.0","0.0","1.6"
"Chase Edmonds","ARI","2.4","7.8","0.0","0.6","2.8","0.0","0.0","1.6"
"Brandon Bolden","NE","0.6","4.9","0.2","0.0","0.3","0.0","0.0","1.6"
"Ty Johnson","DET","1.5","6.6","0.0","0.5","4.8","0.0","0.1","1.5"
"Anthony Sherman","KC","0.2","1.0","0.0","0.7","7.2","0.0","0.0","1.4"
"Alec Ingold","OAK","0.7","3.4","0.0","0.6","4.1","0.1","0.0","1.3"
"Trayveon Williams","CIN","1.3","5.8","0.1","0.1","0.8","0.0","0.0","1.3"
"Travis Homer","SEA","1.8","7.6","0.1","0.1","1.0","0.0","0.0","1.2"
"Alex Armah","CAR","0.8","1.5","0.2","0.0","-0.4","0.0","0.0","1.1"
"James Develin","NE","0.4","1.1","0.1","0.5","3.2","0.0","0.0","1.1"
"Darrel Williams","KC","0.9","3.5","0.0","0.2","1.8","0.0","0.0","1.1"
"Ameer Abdullah","MIN","1.7","6.5","0.0","0.3","2.1","0.0","0.0","1.1"
"Bilal Powell","NYJ","1.1","4.7","0.0","0.2","1.7","0.0","0.0","1.0"
"Corey Clement","PHI","1.0","4.3","0.0","0.2","1.4","0.0","0.0","1.0"
"CJ Ham","MIN","0.4","1.3","0.0","0.6","4.8","0.0","0.0","0.9"
"Brian Hill","ATL","0.9","5.6","0.0","0.4","1.6","0.0","0.0","0.9"
"Dexter Williams","GB","0.8","3.8","0.1","0.1","1.5","0.0","0.0","0.9"
"T.J. Yeldon","BUF","1.2","4.7","0.0","0.2","1.9","0.0","0.0","0.9"
"Jordan Wilkins","IND","1.1","5.8","0.0","0.2","1.3","0.0","0.0","0.9"
"Benny Snell Jr.","PIT","1.2","4.9","0.0","0.1","0.5","0.0","0.0","0.8"
"Zach Line","NO","0.6","2.3","0.0","0.3","1.4","0.0","0.0","0.8"
