"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","17.4","83.0","0.7","6.8","56.4","0.3","0.2","26.6"
"Alvin Kamara","NO","13.7","65.3","0.6","6.1","51.9","0.2","0.2","22.4"
"Saquon Barkley","NYG","18.0","84.9","0.6","5.3","39.4","0.2","0.2","22.2"
"Austin Ekeler","LAC","12.2","53.8","0.6","5.0","47.3","0.3","0.1","20.1"
"Le'Veon Bell","NYJ","18.3","78.6","0.6","4.1","33.8","0.2","0.2","20.1"
"Ezekiel Elliott","DAL","18.9","88.3","0.7","3.6","28.2","0.2","0.2","19.9"
"Nick Chubb","CLE","19.8","93.2","0.7","2.3","18.6","0.1","0.2","18.4"
"Dalvin Cook","MIN","16.8","75.7","0.6","3.9","30.6","0.1","0.2","18.3"
"James Conner","PIT","16.2","68.4","0.7","3.6","30.2","0.1","0.2","18.0"
"Leonard Fournette","JAC","17.2","65.7","0.5","4.3","33.5","0.1","0.2","17.7"
"Chris Carson","SEA","17.0","74.5","0.6","3.6","26.8","0.1","0.2","17.5"
"David Johnson","ARI","15.1","54.8","0.5","4.2","33.5","0.1","0.2","16.6"
"Damien Williams","KC","11.2","48.1","0.6","3.6","32.5","0.2","0.1","16.3"
"Josh Jacobs","OAK","16.1","70.3","0.7","2.6","22.1","0.1","0.2","16.0"
"Todd Gurley","LAR","14.8","67.4","0.7","2.3","21.3","0.1","0.1","15.9"
"Derrick Henry","TEN","19.0","83.6","0.8","1.2","13.6","0.1","0.2","15.7"
"Duke Johnson","HOU","10.3","40.9","0.2","4.1","34.8","0.4","0.1","15.2"
"Mark Ingram","BAL","15.8","74.4","0.7","1.5","11.8","0.1","0.2","14.6"
"Marlon Mack","IND","18.4","82.5","0.6","1.6","10.5","0.0","0.2","14.5"
"Matt Breida","SF","14.5","62.9","0.5","2.3","20.2","0.1","0.2","14.0"
"James White","NE","5.4","23.7","0.2","4.9","42.3","0.3","0.1","13.9"
"Sony Michel","NE","19.4","81.7","0.7","0.8","6.6","0.0","0.2","13.7"
"Phillip Lindsay","DEN","12.3","55.2","0.5","2.8","20.4","0.1","0.1","13.5"
"Devonta Freeman","ATL","12.9","52.4","0.5","2.7","19.9","0.1","0.2","13.3"
"Kerryon Johnson","DET","14.1","65.8","0.3","2.8","19.0","0.1","0.2","13.1"
"Tarik Cohen","CHI","3.4","15.0","0.1","5.0","44.7","0.2","0.2","12.4"
"Adrian Peterson","WAS","15.5","59.3","0.6","1.6","11.1","0.1","0.2","12.3"
"Aaron Jones","GB","13.1","62.6","0.3","2.0","16.3","0.1","0.1","12.2"
"Chris Thompson","WAS","5.0","19.8","0.1","5.0","37.2","0.1","0.1","11.8"
"Giovani Bernard","CIN","9.5","37.6","0.3","3.2","26.5","0.1","0.2","11.3"
"Miles Sanders","PHI","10.2","43.9","0.4","2.2","16.2","0.1","0.2","10.9"
"Devin Singletary","BUF","9.5","43.9","0.2","2.6","24.2","0.1","0.2","10.7"
"Kenyan Drake","MIA","7.7","34.3","0.1","2.9","26.3","0.1","0.1","10.3"
"Rex Burkhead","NE","7.1","30.1","0.2","2.7","23.9","0.2","0.1","10.1"
"LeSean McCoy","KC","10.6","45.3","0.2","2.0","18.3","0.1","0.1","10.0"
"David Montgomery","CHI","12.2","50.3","0.2","1.3","12.0","0.0","0.2","8.9"
"Joe Mixon","CIN","9.7","41.0","0.2","1.9","14.0","0.0","0.1","8.9"
"Justin Jackson","LAC","10.2","42.7","0.2","1.7","14.2","0.1","0.1","8.7"
"Dion Lewis","TEN","5.5","22.4","0.1","3.1","20.8","0.1","0.1","8.3"
"Jalen Richard","OAK","3.6","17.7","0.1","3.3","27.2","0.1","0.2","8.3"
"Carlos Hyde","HOU","11.3","43.1","0.5","0.7","3.6","0.0","0.1","8.0"
"Mike Davis","CHI","7.9","31.7","0.2","2.2","15.7","0.0","0.1","8.0"
"Darren Sproles","PHI","6.1","27.2","0.1","2.2","18.5","0.1","0.1","7.8"
"Latavius Murray","NO","9.7","40.7","0.3","1.1","8.7","0.0","0.1","7.6"
"Nyheim Hines","IND","4.6","17.9","0.1","2.8","18.4","0.1","0.1","7.2"
"Jamaal Williams","GB","7.1","28.0","0.1","1.9","15.2","0.0","0.1","7.0"
"Royce Freeman","DEN","10.9","43.1","0.2","1.0","6.5","0.0","0.1","7.0"
"Frank Gore","BUF","11.9","50.5","0.1","0.7","5.5","0.0","0.1","7.0"
"Ronald Jones II","TB","10.1","42.2","0.2","1.1","7.7","0.0","0.1","7.0"
