"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Peyton Barber","TB","10.3","41.3","0.2","1.2","8.2","0.0","0.1","7.0"
"Ito Smith","ATL","8.1","30.4","0.2","1.6","10.9","0.0","0.1","6.6"
"Jaylen Samuels","PIT","4.7","20.1","0.1","1.9","14.1","0.1","0.1","6.6"
"Jordan Howard","PHI","8.1","34.5","0.2","1.2","8.0","0.0","0.1","6.6"
"Raheem Mostert","SF","9.1","41.4","0.2","0.9","6.9","0.0","0.2","6.4"
"Kalen Ballage","MIA","7.5","32.2","0.1","1.6","11.5","0.0","0.1","6.3"
"C.J. Anderson","DET","9.1","39.5","0.2","0.6","4.0","0.0","0.1","5.9"
"Dare Ogunbowale","TB","1.4","5.7","0.0","2.8","19.5","0.1","0.0","5.8"
"Rashaad Penny","SEA","8.3","36.5","0.1","0.9","6.6","0.0","0.1","5.8"
"Gus Edwards","BAL","10.0","44.7","0.2","0.3","1.4","0.0","0.1","5.7"
"Wayne Gallman","NYG","5.5","21.5","0.1","1.7","11.7","0.0","0.1","5.6"
"Malcolm Brown","LAR","10.0","40.3","0.2","0.4","2.7","0.0","0.1","5.5"
"Justice Hill","BAL","6.3","28.1","0.2","0.8","5.5","0.0","0.1","5.2"
"Alexander Mattison","MIN","6.0","24.1","0.1","1.2","8.2","0.0","0.1","5.0"
"Dontrell Hilliard","CLE","3.1","12.9","0.1","1.3","13.7","0.0","0.1","4.6"
"Tony Pollard","DAL","5.9","26.1","0.1","0.7","5.3","0.0","0.1","4.6"
"Ty Montgomery","NYJ","4.2","16.2","0.1","1.0","8.9","0.0","0.1","4.0"
"D'Ernest Johnson","CLE","1.5","7.0","0.0","1.3","12.5","0.0","0.1","3.6"
"Darrell Henderson","LAR","2.5","11.1","0.1","0.9","7.4","0.0","0.1","3.1"
"Devontae Booker","DEN","1.9","7.0","0.0","1.2","8.5","0.0","0.1","3.0"
"J.D. McKissic","DET","0.8","3.2","0.0","1.2","8.9","0.1","0.0","2.8"
"Kyle Juszczyk","SF","0.3","1.5","0.0","1.2","11.4","0.1","0.1","2.8"
"Patrick DiMarco","BUF","0.2","0.9","0.0","1.1","9.6","0.1","0.0","2.6"
"Ryquell Armstead","JAC","3.5","13.9","0.1","0.4","4.0","0.0","0.1","2.5"
"Darwin Thompson","KC","2.0","9.1","0.1","0.6","6.1","0.0","0.1","2.5"
"Reggie Bonnafon","CAR","1.8","8.5","0.1","0.5","4.8","0.0","0.1","2.2"
"Jeff Wilson","SF","2.2","9.9","0.1","0.4","3.2","0.0","0.0","2.2"
"DeAndre Washington","OAK","2.1","7.9","0.1","0.5","2.5","0.0","0.0","1.9"
"Wendell Smallwood","WAS","1.6","6.5","0.1","0.4","3.4","0.0","0.0","1.9"
"Qadree Ollison","ATL","1.6","7.0","0.1","0.3","2.7","0.0","0.0","1.9"
"Chase Edmonds","ARI","2.4","7.8","0.0","0.6","2.8","0.0","0.0","1.9"
"Kerrith Whyte","CHI","1.9","7.6","0.1","0.2","2.1","0.0","0.0","1.8"
"Anthony Sherman","KC","0.2","1.0","0.0","0.7","7.2","0.0","0.0","1.8"
"Samaje Perine","CIN","2.6","10.3","0.1","0.2","1.6","0.0","0.0","1.7"
"Ty Johnson","DET","1.5","6.6","0.0","0.5","4.8","0.0","0.1","1.7"
"Alec Ingold","OAK","0.7","3.4","0.0","0.6","4.1","0.1","0.0","1.6"
"Brandon Bolden","NE","0.6","4.9","0.2","0.0","0.3","0.0","0.0","1.6"
"James Develin","NE","0.4","1.1","0.1","0.5","3.2","0.0","0.0","1.4"
"Trayveon Williams","CIN","1.3","5.8","0.1","0.1","0.8","0.0","0.0","1.4"
"Travis Homer","SEA","1.8","7.6","0.1","0.1","1.0","0.0","0.0","1.3"
"Ameer Abdullah","MIN","1.7","6.5","0.0","0.3","2.1","0.0","0.0","1.2"
"CJ Ham","MIN","0.4","1.3","0.0","0.6","4.8","0.0","0.0","1.2"
"Darrel Williams","KC","0.9","3.5","0.0","0.2","1.8","0.0","0.0","1.2"
"Alex Armah","CAR","0.8","1.5","0.2","0.0","-0.4","0.0","0.0","1.1"
"Bilal Powell","NYJ","1.1","4.7","0.0","0.2","1.7","0.0","0.0","1.1"
"Brian Hill","ATL","0.9","5.6","0.0","0.4","1.6","0.0","0.0","1.1"
"Corey Clement","PHI","1.0","4.3","0.0","0.2","1.4","0.0","0.0","1.1"
"T.J. Yeldon","BUF","1.2","4.7","0.0","0.2","1.9","0.0","0.0","1.0"
"Dexter Williams","GB","0.8","3.8","0.1","0.1","1.5","0.0","0.0","1.0"
"Jordan Wilkins","IND","1.1","5.8","0.0","0.2","1.3","0.0","0.0","1.0"
"Nick Bawden","DET","0.2","0.6","0.0","0.5","3.6","0.0","0.0","1.0"
"Zach Line","NO","0.6","2.3","0.0","0.3","1.4","0.0","0.0","0.9"
"Mark Walton","MIA","0.9","3.5","0.0","0.2","2.1","0.0","0.0","0.8"
"David Fluellen","TEN","1.4","5.6","0.0","0.1","1.0","0.0","0.0","0.8"
"Benny Snell Jr.","PIT","1.2","4.9","0.0","0.1","0.5","0.0","0.0","0.8"
"Elijhaa Penny","NYG","1.0","4.0","0.0","0.2","1.1","0.0","0.0","0.8"
"Damien Harris","NE","0.7","2.9","0.1","0.1","0.8","0.0","0.0","0.8"
"Patrick Ricard","BAL","0.1","0.3","0.0","0.3","1.7","0.0","0.0","0.8"
"Derek Watt","LAC","1.0","3.6","0.0","0.2","1.1","0.0","0.0","0.7"
"Shaun Wilson","WAS","0.3","1.2","0.0","0.3","1.8","0.0","0.0","0.7"
"Kenjon Barner","ATL","0.6","2.4","0.0","0.2","1.1","0.0","0.0","0.7"
"Andy Janovich","DEN","0.3","1.1","0.0","0.3","1.9","0.0","0.0","0.7"
"Jordan Scarlett","CAR","0.9","4.2","0.0","0.0","0.3","0.0","0.0","0.7"
"Mike Boone","MIN","0.9","3.2","0.0","0.2","1.1","0.0","0.0","0.6"
"Trenton Cannon","NYJ","0.9","3.8","0.0","0.1","0.6","0.0","0.0","0.6"
"Jamize Olawale","DAL","0.2","0.8","0.0","0.3","2.1","0.0","0.0","0.6"
"Keith Smith","ATL","0.3","1.2","0.0","0.2","1.6","0.0","0.0","0.5"
"Devine Ozigbo","JAC","1.3","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Dwayne Washington","NO","0.9","4.0","0.0","0.0","0.1","0.0","0.0","0.5"
"T.J. Logan","TB","0.3","1.2","0.0","0.2","1.1","0.0","0.0","0.4"
"Buddy Howell","HOU","0.6","2.1","0.0","0.1","0.5","0.0","0.0","0.4"
"C.J. Prosise","SEA","0.5","1.5","0.0","0.1","1.0","0.0","0.0","0.4"
"D.J. Foster","ARI","0.3","1.3","0.0","0.1","0.9","0.0","0.0","0.4"
"Jonathan Williams","IND","0.4","1.3","0.0","0.1","0.8","0.0","0.0","0.4"
"Josh Adams","NYJ","0.4","1.9","0.0","0.1","0.6","0.0","0.0","0.4"
"Paul Perkins","NYG","0.2","0.9","0.0","0.1","0.9","0.0","0.0","0.4"
"Troymaine Pope","LAC","0.4","1.5","0.0","0.1","0.6","0.0","0.0","0.3"
"Dan Vitale","GB","0.3","1.0","0.0","0.1","0.7","0.0","0.0","0.3"
"Myles Gaskin","MIA","0.2","0.8","0.0","0.1","1.2","0.0","0.0","0.3"
"Chandler Cox","MIA","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Tyler Ervin","JAC","0.3","1.1","0.0","0.1","0.6","0.0","0.0","0.3"
"Nick Bellore","SEA","0.1","0.8","0.0","0.1","0.7","0.0","0.0","0.3"
"Taiwan Jones","HOU","0.2","0.4","0.0","0.1","0.4","0.0","0.0","0.1"
"Roosevelt Nix","PIT","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Cullen Gillaspia","HOU","0.2","0.6","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
