"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Sterling Shepard","NYG","2.9","38.3","0.1","0.2","1.5","0.0","0.0","7.4"
"Phillip Dorsett","NE","2.7","32.6","0.2","0.2","1.1","0.0","0.0","7.3"
"Breshad Perriman","TB","2.6","39.0","0.1","0.2","0.8","0.0","0.0","7.2"
"A.J. Brown","TEN","2.6","38.3","0.1","0.1","0.9","0.0","0.1","7.0"
"DaeSean Hamilton","DEN","2.9","32.3","0.1","0.0","0.2","0.0","0.0","7.0"
"Tre'Quan Smith","NO","2.4","33.5","0.2","0.1","0.4","0.0","0.0","6.9"
"Geronimo Allison","GB","2.4","38.1","0.1","0.1","0.5","0.0","0.0","6.9"
"Adam Humphries","TEN","2.9","33.1","0.1","0.1","0.8","0.0","0.0","6.9"
"Demarcus Robinson","KC","2.4","33.0","0.2","0.0","0.0","0.0","0.0","6.7"
"Hunter Renfrow","OAK","2.7","32.6","0.1","0.1","0.3","0.0","0.1","6.6"
"Rashard Higgins","CLE","2.3","35.0","0.1","0.0","0.1","0.0","0.1","6.6"
"Preston Williams","MIA","2.5","35.5","0.1","0.1","0.3","0.0","0.1","6.5"
"Kenny Stills","HOU","2.2","32.5","0.2","0.0","0.0","0.0","0.0","6.4"
"Jakeem Grant","MIA","2.5","32.8","0.1","0.3","1.5","0.0","0.0","6.3"
"Deebo Samuel","SF","2.5","33.1","0.1","0.1","0.4","0.0","0.1","6.2"
"Dante Pettis","SF","1.9","33.4","0.1","0.1","0.3","0.0","0.0","6.1"
"Ryan Grant","OAK","2.6","28.0","0.1","0.0","0.0","0.0","0.0","6.0"
"Travis Benjamin","LAC","2.1","31.3","0.1","0.4","1.9","0.0","0.0","5.9"
"Albert Wilson","MIA","2.0","30.3","0.1","0.5","2.0","0.0","0.0","5.9"
"Bennie Fowler","NYG","2.6","27.4","0.1","0.0","0.0","0.0","0.0","5.8"
"Mecole Hardman","KC","2.0","29.5","0.1","0.0","0.2","0.0","0.1","5.8"
"Keke Coutee","HOU","2.2","28.4","0.1","0.2","0.3","0.0","0.0","5.6"
"Damion Willis","CIN","2.1","27.3","0.1","0.0","0.2","0.0","0.0","5.4"
"Jaron Brown","SEA","1.9","23.7","0.2","0.0","0.3","0.0","0.0","5.3"
"Demaryius Thomas","NYJ","2.1","24.1","0.1","0.0","0.0","0.0","0.0","5.2"
"Ryan Switzer","PIT","2.4","21.3","0.1","0.3","1.4","0.0","0.1","5.2"
"Cordarrelle Patterson","CHI","1.8","20.3","0.1","1.2","7.1","0.0","0.0","5.1"
"Justin Hardy","ATL","2.3","18.6","0.2","0.0","0.0","0.0","0.0","5.1"
"Allen Hurns","MIA","1.9","25.7","0.1","0.0","0.0","0.0","0.0","5.1"
"Jarius Wright","CAR","2.2","20.7","0.1","0.1","1.1","0.0","0.0","4.9"
"Damiere Byrd","ARI","2.0","22.8","0.1","0.0","0.1","0.0","0.0","4.9"
"Kendrick Bourne","SF","1.9","23.4","0.1","0.0","0.0","0.0","0.0","4.8"
"Miles Boykin","BAL","1.5","23.6","0.2","0.1","0.3","0.0","0.1","4.8"
"Diontae Johnson","PIT","1.8","22.6","0.1","0.0","0.1","0.0","0.0","4.8"
"Anthony Miller","CHI","1.4","22.2","0.2","0.3","1.6","0.0","0.0","4.7"
"Josh Reynolds","LAR","1.7","23.8","0.1","0.1","0.4","0.0","0.0","4.6"
"Marqise Lee","JAC","1.7","23.6","0.0","0.2","1.7","0.0","0.0","4.4"
"Seth Roberts","BAL","2.1","19.3","0.1","0.1","0.7","0.0","0.0","4.4"
"Parris Campbell","IND","1.7","19.6","0.1","0.2","1.2","0.0","0.1","4.1"
"Chester Rogers","IND","1.7","19.3","0.1","0.0","0.0","0.0","0.0","4.0"
"Taywan Taylor","CLE","1.6","21.5","0.1","0.1","0.5","0.0","0.1","3.9"
"Dontrelle Inman","LAC","1.3","18.1","0.1","0.0","0.0","0.0","0.0","3.7"
"Chad Beebe","MIN","1.6","18.8","0.0","0.0","0.2","0.0","0.0","3.7"
"Deon Cain","IND","1.2","19.6","0.0","0.1","0.5","0.0","0.0","3.5"
"Zach Pascal","IND","1.6","13.1","0.1","0.0","0.3","0.0","0.0","3.3"
"Richie James","SF","1.2","16.5","0.1","0.0","0.1","0.0","0.0","3.3"
"Robert Foster","BUF","0.6","20.4","0.1","0.1","0.5","0.0","0.0","3.1"
"Alex Erickson","CIN","1.2","15.5","0.0","0.2","1.0","0.0","0.0","3.0"
"Keelan Cole","JAC","1.1","18.2","0.0","0.0","0.0","0.0","0.0","3.0"
"J.J. Nelson","OAK","1.0","15.4","0.0","0.1","0.4","0.0","0.0","2.9"
"De'Anthony Thomas","KC","1.0","11.1","0.1","0.1","0.7","0.0","0.0","2.8"
"Kelvin Harmon","WAS","1.0","13.7","0.0","0.1","0.4","0.0","0.0","2.5"
"Damion Ratley","CLE","1.0","12.4","0.0","0.0","0.1","0.0","0.0","2.5"
"Josh Bellamy","NYJ","0.9","11.0","0.1","0.0","0.1","0.0","0.0","2.4"
"Trevor Davis","GB","1.0","11.4","0.0","0.0","0.2","0.0","0.0","2.3"
"Tajae Sharpe","TEN","0.8","10.7","0.0","0.1","0.4","0.0","0.0","2.2"
"Tavon Austin","DAL","0.7","8.0","0.0","0.6","3.1","0.0","0.0","2.1"
"Chris Hogan","CAR","0.5","14.9","0.0","0.0","0.1","0.0","0.0","2.1"
"Russell Shepard","NYG","0.8","9.8","0.0","0.1","0.7","0.0","0.0","2.1"
"Russell Gage","ATL","1.0","8.9","0.0","0.0","0.2","0.0","0.0","2.0"
"Malik Turner","SEA","0.9","8.2","0.0","0.0","0.0","0.0","0.0","2.0"
"Chris Moore","BAL","0.8","8.1","0.0","0.2","1.3","0.0","0.0","1.9"
"DeAndre Carter","HOU","0.8","9.3","0.0","0.2","1.0","0.0","0.0","1.9"
"Jake Kumerow","GB","0.5","12.7","0.0","0.0","0.2","0.0","0.0","1.9"
"Michael Crabtree","ARI","0.6","10.8","0.0","0.0","0.0","0.0","0.0","1.7"
"Keith Kirkwood","NO","0.3","10.3","0.0","0.0","0.1","0.0","0.0","1.4"
